Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1946,1946.000,11076,12739,13604,16528,16452,23555,29228,62304,92160
1,1920,1920.000,10859,12947,14114,16651,17943,24955,29994,41990,55369
2,2168,2168.000,10997,12142,12839,14727,14247,21432,24282,33817,95707
3,2279,2279.000,10761,11936,12465,14017,13578,20626,22945,29264,43623
4,2311,2311.000,10559,11792,12278,13862,13218,20555,23510,30833,46119
5,2176,2176.000,10660,11801,12323,14714,13576,21807,25211,53548,88436
6,2294,2294.000,10750,11870,12366,13914,13372,20372,23074,30357,51856
7,2298,2298.000,10752,11762,12245,13942,13229,20458,23687,30811,60535
8,2154,2154.000,10764,12285,13216,14869,14986,21574,24911,32301,52005
9,2195,2195.000,10754,11989,12632,14566,14334,20960,24318,34738,46984
10,2203,2203.000,10694,12003,12675,14512,14742,20697,24082,32133,56475
11,2277,2277.000,10677,11734,12295,14083,13445,20693,24525,33490,72961
12,2294,2294.000,10695,11799,12343,13882,13304,20329,23192,31491,45076
13,2306,2306.000,10618,11770,12323,13870,13284,20542,22912,30733,43009
14,2213,2213.000,10811,11775,12267,14479,13264,21096,24484,52316,82560
15,2263,2263.000,10626,11811,12366,14107,13627,20586,23538,32450,63682
16,2270,2270.000,10574,11737,12256,14122,13346,20858,24034,33829,46583
17,2115,2115.000,10686,11718,12205,15889,13310,20920,23621,32506,1023918
18,2158,2158.000,10743,11790,12317,14054,13462,21268,23767,32001,44454
19,2314,2314.000,10593,11746,12232,13832,13099,20116,23036,31494,66726
20,2177,2177.000,10652,11879,12601,14716,14492,21732,25999,34950,43447
21,2139,2139.000,10863,12059,12798,14950,14772,22249,25848,34546,49981
22,2132,2132.000,10791,12143,12874,14981,14831,21924,25342,35070,59678
23,1978,1978.000,10793,12031,12814,16180,16941,23589,31098,59016,79879
24,2228,2228.000,10746,11873,12422,14359,13790,20975,23962,31526,81988
25,2170,2170.000,10681,11894,12490,14744,14265,21847,26617,38080,56811
26,2108,2108.000,10673,11978,12721,15164,15381,23016,26579,36056,60137
27,2239,2239.000,10711,11921,12500,14278,13652,21203,23658,32664,48660
28,2257,2257.000,10766,11851,12419,14183,13632,21159,23764,31924,44620
29,2316,2316.000,10689,11775,12259,13840,13136,20421,23655,29762,44612
30,2273,2273.000,10641,11867,12418,14040,13581,20608,23480,30702,51864
31,2267,2267.000,10585,11760,12331,16093,13545,20625,23227,31918,1015892
