Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,2124.800,15.065,10.559,12.132,12.918,14.864,21.982,25.549,36.868,95.707,0.066
5,2223.400,14.391,10.660,11.905,12.492,13.889,21.023,24.089,34.562,88.436,0.069
10,2258.600,14.160,10.618,11.805,12.369,13.510,20.697,23.887,32.958,82.560,0.071
15,2224.000,14.382,10.574,11.759,12.273,13.345,20.779,23.538,32.586,1023.918,0.070
20,2130.800,15.014,10.652,11.989,12.705,14.699,22.026,26.075,39.432,81.988,0.067
25,2218.000,14.427,10.673,11.871,12.464,13.809,21.497,24.709,33.681,60.137,0.069
30,2061.600,15.505,10.172,11.697,12.252,13.386,20.637,23.364,32.479,1015.892,0.064
35,2287.800,13.982,10.319,11.784,12.333,13.410,20.643,23.632,31.098,68.523,0.072
40,2260.400,14.160,10.547,11.765,12.337,13.474,20.695,23.582,33.384,89.911,0.071
45,2306.600,13.869,10.594,11.775,12.315,13.267,20.517,23.098,30.828,76.684,0.072
50,2266.400,14.114,10.604,11.804,12.365,13.448,20.825,23.652,32.264,74.235,0.071
55,2232.600,14.334,10.452,11.825,12.421,13.791,20.973,24.092,34.403,88.864,0.070
60,2195.000,14.573,10.488,11.988,12.608,14.027,21.583,25.053,33.717,58.962,0.069
65,2219.600,14.409,10.618,11.869,12.441,13.609,21.199,24.468,34.208,90.450,0.069
70,2254.400,14.203,10.472,11.836,12.416,13.721,20.948,24.044,32.299,57.584,0.070
75,2208.000,14.484,10.619,11.858,12.457,13.829,21.624,25.765,37.132,78.362,0.069
80,1749.200,18.280,10.496,11.819,12.657,16.531,28.530,50.585,101.507,257.524,0.055
85,2191.400,14.606,10.550,11.815,12.408,13.698,21.854,26.619,39.713,109.019,0.068
90,2236.200,14.308,10.577,11.817,12.408,13.645,21.391,25.376,34.858,71.236,0.070
95,2229.600,14.351,10.601,11.822,12.377,13.526,21.273,25.309,35.741,153.482,0.070
100,1585.000,20.182,10.576,12.052,12.929,20.027,37.017,57.291,109.604,267.610,0.050
105,2095.400,15.272,10.381,11.718,12.259,13.312,20.658,24.478,36.400,1021.185,0.065
110,1641.800,19.498,10.659,12.253,13.346,18.130,31.233,51.150,94.153,307.488,0.051
115,2128.000,14.972,10.370,11.831,12.485,14.036,22.202,28.600,47.139,89.711,0.067
