Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,459.000,69.967,13.672,23.406,29.001,43.141,67.496,177.133,936.310,1089.060,0.014
5,460.800,69.444,14.111,23.602,29.396,43.342,70.274,103.495,952.918,1092.412,0.014
10,473.200,70.418,13.451,24.301,29.726,43.181,65.294,111.162,960.602,1076.645,0.014
15,613.200,50.956,13.628,24.459,29.541,41.429,61.500,80.248,761.250,1071.527,0.020
20,490.800,63.990,13.175,24.382,29.429,43.145,65.663,100.626,874.050,1087.644,0.016
25,458.000,75.711,13.842,22.830,27.833,40.993,64.550,591.779,992.863,1255.961,0.013
30,388.400,80.111,13.595,22.042,27.259,41.242,72.285,693.646,1001.037,1061.151,0.012
35,407.600,80.303,13.803,23.949,29.361,44.381,71.185,706.483,946.831,1170.440,0.012
40,522.200,57.269,13.737,24.280,29.288,43.548,64.703,86.519,920.758,1088.713,0.017
45,420.000,80.921,12.518,22.452,27.758,42.282,70.560,740.556,991.116,1058.812,0.012
50,436.800,70.646,13.164,21.910,27.024,39.976,63.848,227.183,962.329,1305.688,0.014
55,439.000,70.009,13.708,24.501,29.932,43.850,63.873,93.188,975.424,1082.267,0.014
60,474.000,70.750,10.266,23.819,29.129,42.812,68.459,170.492,947.331,1074.018,0.014
65,482.000,67.544,11.995,24.283,29.136,43.196,67.322,113.724,963.444,1097.617,0.015
70,261.400,114.336,13.009,20.084,26.174,42.280,128.305,837.131,1037.811,2149.714,0.009
75,594.800,60.141,13.508,24.990,30.054,43.055,61.660,83.552,871.065,1085.402,0.017
80,382.800,75.371,13.731,22.925,28.211,41.406,67.626,505.765,1007.500,1291.104,0.013
85,360.200,92.533,13.309,22.290,27.284,40.987,77.518,779.078,1024.624,1126.433,0.011
90,390.000,77.023,13.450,23.893,29.861,45.059,72.412,175.005,989.835,1880.103,0.013
95,348.800,102.610,13.502,21.079,25.725,38.432,88.912,815.105,1011.133,1789.210,0.010
100,321.400,98.265,12.510,21.700,26.615,39.900,101.248,765.562,975.578,2813.081,0.010
105,434.200,68.707,13.248,23.206,28.906,42.262,64.454,97.736,964.102,2016.447,0.015
110,766.600,40.115,14.312,20.541,23.386,30.489,44.227,55.255,753.774,1032.462,0.025
115,1278.000,24.869,12.344,19.930,21.861,25.961,37.834,42.318,55.980,71.133,0.040
