Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,36,36.000,13214,1056516,1077334,1221870,2021617,2080797,2085560,2086588,2086588
1,29,29.000,5587,580642,1023164,1410513,2025489,3029907,4029369,4600677,4600677
2,21,21.000,1002660,1011483,1020538,2064717,3034181,4027060,4028728,4031553,4031553
3,19,19.000,16673,1009596,2018417,2118410,3015170,3024722,3024942,3024942,3024942
4,9,9.000,1011790,2012422,2016800,3360912,5035881,6074370,6074370,6074370,6074370
5,9,9.000,1008933,4037777,4042118,4379497,5072917,7062167,7062167,7062167,7062167
6,21,21.000,9660,3032836,5063656,4816279,7067607,7079946,8072848,9088960,9088960
7,1,1.000,6052020,6052020,6052020,6052020,6052020,6052020,6052020,6052020,6052020
8,1,1.000,3045128,3045128,3045128,3045128,3045128,3045128,3045128,3045128,3045128
9,13,13.000,2028800,3041059,4034179,3813793,4054799,6062138,6072137,6072137,6072137
10,4,4.000,3019054,3020561,3023133,3524658,5035885,5035885,5035885,5035885,5035885
11,6,6.000,1001904,3008628,3023939,3016834,4018019,4034136,4034136,4034136,4034136
12,8,8.000,988859,2003613,3022597,2894279,3035660,7049046,7049046,7049046,7049046
13,15,15.000,1002009,2012540,3011222,3291110,5037466,6028553,6038056,6038056,6038056
14,9,9.000,1004387,2012480,4031095,3135745,4044103,5037208,5037208,5037208,5037208
15,17,17.000,10788,3009872,4008518,3081978,4027888,4051119,4093298,4093298,4093298
16,6,6.000,1040702,1044487,3030634,2390692,3100082,3100588,3100588,3100588,3100588
17,3,3.000,1003157,1003157,1976532,1666975,2021238,2021238,2021238,2021238,2021238
18,14,14.000,4616,1002125,1072931,1043696,1083180,1085885,3090449,3090449,3090449
19,67,67.000,4777,78286,99178,2444537,5019538,6033550,7033285,9031293,9031293
20,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,4,4.000,3011789,4014191,4025208,4272148,6037406,6037406,6037406,6037406,6037406
22,2,2.000,1001975,1001975,1003076,1002525,1003076,1003076,1003076,1003076,1003076
23,7,7.000,1002436,1003908,4028948,3165726,4040712,6058747,6058747,6058747,6058747
24,11,11.000,1001668,1002268,3019909,2653825,3024515,4022922,8064451,8064451,8064451
25,16,16.000,4270,2018224,3019418,2524764,3028309,3033241,6064067,6064067,6064067
26,6,6.000,1001986,1989794,2002099,2508646,2013563,6044984,6044984,6044984,6044984
27,12,12.000,1004428,2021623,3028850,2863282,3038582,5056628,7066998,7066998,7066998
28,22,22.000,5105,2020424,4046511,3631746,6059205,6074449,7046864,7058413,7058413
29,5,5.000,1001848,1002519,1004858,2418338,4037070,5045398,5045398,5045398,5045398
30,12,12.000,2029506,3034128,4045471,3954012,5038327,5041114,5041645,5041645,5041645
31,2,2.000,1002017,1002017,3033393,2017705,3033393,3033393,3033393,3033393,3033393
32,10,10.000,4945,1002075,3016852,2114290,3018694,4031862,4031862,4031862,4031862
33,7,7.000,1016979,2008085,2022879,2591131,3021034,5033955,5033955,5033955,5033955
34,15,15.000,1003699,1010318,2012432,2683310,4023292,4041250,5044563,5044563,5044563
35,17,17.000,1001610,1004809,2013400,2193400,3024310,4054593,5058884,5058884,5058884
36,16,16.000,5898,1030467,2023643,2026524,3037047,3044493,5050867,5050867,5050867
37,6,6.000,1006557,1017648,2039908,2192946,3014808,5051489,5051489,5051489,5051489
38,24,24.000,4946,1027153,2016534,2066541,3042281,4043096,5040918,5041909,5041909
39,15,15.000,4968,1013074,3023735,2825368,4025149,4073472,4077135,4077135,4077135
40,11,11.000,2028372,3005499,3026361,2853891,3045452,3079426,3082251,3082251,3082251
