Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1004.000,31.904,3.606,15.727,16.606,23.515,28.544,35.802,1028.342,1038.512,0.031
5,752.200,42.533,2.715,15.007,15.674,16.709,27.195,33.678,1027.221,1033.255,0.024
10,743.600,49.023,2.458,15.182,15.891,17.379,27.459,36.108,1025.740,1043.066,0.020
15,876.000,35.548,4.423,15.155,15.893,24.247,28.628,36.881,1025.745,1049.249,0.028
20,581.200,49.254,3.154,14.826,15.529,16.897,25.044,28.285,2031.763,2040.032,0.020
25,732.600,43.338,3.420,15.252,15.929,17.375,25.674,32.559,1026.153,1037.452,0.023
30,1484.000,21.561,3.018,15.222,16.010,17.491,25.716,27.177,37.137,1037.009,0.046
35,1002.600,35.994,3.070,15.171,15.800,16.819,25.770,27.759,1033.707,1059.254,0.028
40,495.800,56.261,3.035,15.198,15.912,17.903,27.200,30.643,1034.197,1036.011,0.018
45,486.600,82.872,4.736,15.352,16.164,24.037,32.442,967.405,2032.575,2034.114,0.012
50,487.400,48.663,2.720,15.633,16.456,21.684,38.318,84.687,1038.688,1069.679,0.021
55,348.400,91.686,3.202,14.985,16.094,24.327,34.383,1023.987,1030.256,1033.951,0.011
60,591.000,60.852,3.390,15.207,16.037,20.974,26.642,35.499,1027.873,1035.817,0.016
65,876.000,31.991,3.131,15.128,15.925,20.328,26.209,31.892,1002.256,1026.497,0.031
70,967.800,37.736,2.981,15.117,15.822,23.348,27.086,34.023,1023.989,1028.317,0.026
75,704.000,62.131,3.211,15.086,15.831,24.368,27.345,35.759,1047.204,3041.351,0.016
80,251.800,70.029,3.268,15.047,15.787,23.579,31.943,1022.876,1035.222,1037.044,0.014
85,815.000,40.783,2.810,15.093,15.766,19.690,26.487,30.148,1024.519,1034.210,0.025
90,507.000,56.905,2.934,15.277,16.102,24.818,34.946,46.817,1032.314,1040.688,0.018
95,834.200,41.379,3.238,15.536,16.352,23.913,26.904,35.269,1033.130,1045.487,0.024
100,569.800,62.593,2.891,15.230,16.161,21.988,33.916,38.654,1037.358,1042.235,0.016
105,518.400,53.836,2.898,14.987,15.674,17.009,25.985,27.088,1037.612,1039.542,0.019
110,315.800,98.669,2.924,14.729,15.395,17.050,26.721,1025.509,2037.431,2038.787,0.010
115,641.000,47.774,3.057,14.925,15.631,21.043,32.560,37.791,1028.078,1057.626,0.021
