Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,482.600,71.551,9.876,11.489,17.455,27.380,43.553,732.421,923.406,1028.003,0.014
5,491.800,66.315,9.755,11.377,16.830,26.260,36.306,517.438,993.858,2028.813,0.015
10,472.000,66.975,9.752,11.232,16.208,24.973,37.180,649.856,977.752,1022.983,0.015
15,319.000,104.629,9.748,11.087,15.035,25.301,44.216,940.270,1014.920,1033.305,0.010
20,401.800,77.538,9.751,11.225,16.568,25.420,36.919,778.366,989.358,1041.056,0.013
25,247.200,123.216,9.892,11.771,21.705,143.517,351.603,769.672,1157.718,1469.683,0.008
30,400.400,75.678,9.935,11.332,18.708,32.356,103.995,652.464,942.547,1835.761,0.013
35,315.800,110.607,9.806,11.017,15.209,26.955,772.817,939.507,1010.077,1027.808,0.009
40,361.200,84.376,9.767,11.160,16.772,26.791,50.568,926.108,1010.169,1056.824,0.012
45,335.800,100.473,9.823,11.022,15.216,26.360,170.211,854.724,1020.106,1857.027,0.010
50,477.000,68.029,9.673,11.248,17.826,28.100,90.351,550.319,954.440,1064.585,0.015
55,327.200,86.756,9.890,11.024,16.361,26.347,113.582,832.989,949.825,1018.081,0.012
60,305.400,110.659,9.843,11.079,16.960,26.906,730.614,947.029,1009.792,1045.303,0.009
65,482.600,62.638,9.655,11.132,15.883,25.463,38.499,555.651,985.656,1020.858,0.016
70,289.200,121.131,10.026,11.162,16.245,26.298,776.248,973.238,1155.264,1832.644,0.008
75,397.600,81.430,9.834,10.961,15.858,26.591,85.486,842.833,1010.379,1104.434,0.012
80,584.400,55.386,9.753,11.187,15.964,24.752,35.350,157.103,927.024,1025.137,0.018
85,469.200,71.262,9.734,11.315,17.018,26.131,36.856,907.345,1011.223,1128.372,0.014
90,409.800,68.564,9.844,11.274,16.307,25.565,37.470,665.779,979.331,1036.966,0.015
95,669.200,45.834,9.862,11.631,17.372,26.114,35.028,42.540,958.967,1039.609,0.022
100,546.600,58.505,9.826,11.334,16.194,25.332,37.283,217.471,957.655,1033.489,0.017
105,454.800,78.238,9.726,11.263,16.822,26.024,43.562,821.138,994.878,1972.826,0.013
110,267.200,109.054,9.580,11.158,17.078,26.292,50.373,982.647,1018.528,1032.198,0.009
115,456.200,66.956,9.672,10.929,14.340,24.657,36.560,620.196,1004.800,1178.283,0.015
