Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1137,1137.000,11211,16026,23897,28683,32411,44664,60462,134161,224054
1,1347,1347.000,11270,14275,21212,23428,26708,35852,45449,86891,190977
2,1554,1554.000,11368,14113,21228,20632,25523,29242,31932,39929,57495
3,1011,1011.000,10087,13449,19458,32471,27253,48250,116508,295121,321774
4,1005,1005.000,11111,13974,20897,31012,25643,30448,36585,359902,390605
5,1535,1535.000,10884,14084,20762,20840,25547,29960,32970,48684,79975
6,1546,1546.000,10986,13946,21095,20638,25589,29497,32137,38833,58138
7,1557,1557.000,10972,14075,21073,20682,25566,29339,31820,40384,64197
8,1560,1560.000,11124,13919,20576,20420,25218,29265,31654,39084,51084
9,1355,1355.000,10979,14291,22039,23656,26271,33001,52248,81543,122646
10,1578,1578.000,10428,13717,20030,20264,24836,28847,32725,45988,69493
11,1556,1556.000,11241,13876,21429,20523,25003,28607,31596,38151,55628
12,1583,1583.000,11106,13776,20962,20260,25009,28367,31180,40317,54675
13,1529,1529.000,10540,13828,20653,20937,25133,28856,32152,68207,92923
14,1530,1530.000,11048,13830,20209,20885,24701,28194,32719,74366,98455
15,1615,1615.000,11169,13751,19861,19762,24412,27573,30423,37846,60542
16,1613,1613.000,10866,13602,20123,19891,24695,28097,30716,37648,57558
17,1594,1594.000,10888,13532,20175,20209,24776,29189,33063,42222,60287
18,1545,1545.000,11075,13871,20916,20562,25278,29651,32211,41198,51164
19,1612,1612.000,10715,13505,20055,19859,24964,28238,30782,36847,48409
20,1585,1585.000,10756,13784,20562,20136,25161,28287,30640,37941,61296
21,1588,1588.000,10943,13774,20684,20217,25148,28788,30925,38342,52055
22,1596,1596.000,10788,13483,20210,19953,24538,28504,31267,40879,57208
23,1473,1473.000,10491,13561,19646,21941,24924,29954,47535,80763,113558
24,1589,1589.000,10550,13889,20591,19960,24690,27651,29863,36739,54111
25,1580,1580.000,10880,13595,20344,20284,25022,29062,33640,41629,54626
26,1592,1592.000,10896,13689,20670,20089,24826,28006,31296,41338,54190
27,1548,1548.000,11001,13821,21246,20606,25313,28946,31722,40115,59971
28,1607,1607.000,10975,13658,20291,19965,24760,28293,30596,36547,56633
29,1500,1500.000,10239,13487,20211,21391,25108,29296,35819,89243,99206
30,1530,1530.000,10506,13687,21122,20797,25703,30358,33988,45054,56495
31,1605,1605.000,11054,13695,20590,19918,24526,28209,30555,37136,52797
32,1621,1621.000,11103,13781,20221,19805,24479,27859,29733,34522,47390
33,1003,1003.000,10377,13843,20401,31846,25128,29641,57011,368652,395881
34,1579,1579.000,10867,13726,19717,20282,24836,28619,31823,45486,86107
35,1204,1204.000,10227,14831,23225,26494,28556,45121,58042,91789,155933
36,1612,1612.000,10891,13548,20350,19884,24529,27983,30222,39370,57688
37,1591,1591.000,11208,13658,20808,20143,24770,28513,31238,39126,54958
38,1594,1594.000,10984,13905,20581,20106,24765,27897,30151,37707,53072
39,1608,1608.000,11061,13489,20023,19803,24447,28069,30483,37027,58232
40,1448,1448.000,10014,13316,19240,22138,24696,30582,49936,98041,129232
41,1463,1463.000,11124,13804,21230,21884,25117,29071,39930,80017,103312
42,1536,1536.000,10087,13542,18248,20848,24388,28438,33721,86814,119134
43,1011,1011.000,10641,13603,18879,31654,25010,29679,37697,401215,417449
44,1531,1531.000,10146,13688,20523,20896,25014,29069,33533,71456,107189
45,1450,1450.000,10222,13235,18018,22182,24637,29288,58150,96791,146577
46,1228,1228.000,10130,12922,18441,25880,25426,49841,83465,127065,145666
47,1583,1583.000,10671,13894,20934,20253,25093,28302,30790,35733,166953
48,1136,1136.000,10199,11990,15907,28195,24705,85490,102111,135068,160748
49,1558,1558.000,11179,13988,21135,20453,25348,28683,31598,38288,54449
50,1596,1596.000,11040,13675,20339,20057,24852,28457,30767,38338,52018
51,1412,1412.000,10992,14003,21753,22819,26179,31312,42320,85737,139654
52,1207,1207.000,10843,14507,22720,26274,28457,46117,62605,81156,131198
53,1570,1570.000,10998,13869,20584,20421,25017,28975,31758,41454,72637
54,967,967.000,9897,13641,19773,33094,25060,31830,76242,397285,415709
55,1512,1512.000,10489,13794,20948,21115,24809,28534,31682,82739,136025
56,1429,1429.000,10174,13296,18359,22437,25058,31924,45628,101496,135979
57,1528,1528.000,10387,13238,18878,20918,25042,29690,37714,71553,88180
58,1575,1575.000,10999,13864,20659,20292,24854,28931,32535,40287,52098
59,1569,1569.000,10988,13730,20798,20396,25040,28800,31570,43679,61750
60,1557,1557.000,10895,14065,21377,20578,25474,28702,31209,38615,54561
61,1537,1537.000,11023,14081,21530,20813,25215,29293,31915,38623,59792
62,1277,1277.000,10201,12906,18261,25280,27771,53579,67923,109310,129807
63,1173,1173.000,10046,11866,16429,27180,27795,68161,82160,96956,182851
64,1470,1470.000,10138,13822,20166,21643,24756,28681,35133,92125,118045
65,975,975.000,9739,13826,20948,32775,25104,31472,86742,385992,401774
66,1577,1577.000,10362,13542,20074,20300,24455,28176,32012,61830,96843
67,1454,1454.000,10853,14092,20979,22102,25620,32489,42056,62417,89782
68,1461,1461.000,11258,13779,20792,21788,25426,30189,38306,67921,102114
69,1325,1325.000,10238,12815,17640,24400,24849,44313,81610,99398,130569
70,1413,1413.000,10371,14280,19419,22493,24755,29059,36838,107051,158909
71,1597,1597.000,10985,13559,20080,19918,24590,28023,31148,38611,51258
72,1586,1586.000,11222,13867,20801,20203,24890,28268,30982,38150,52635
73,1216,1216.000,10868,15169,22948,27268,29319,56019,68206,79620,130124
