Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1210.800,26.467,10.087,14.273,21.424,26.851,34.913,46.564,202.466,390.605,0.038
5,1510.600,21.185,10.884,14.036,21.153,25.622,29.792,33.058,52.345,122.646,0.047
10,1555.200,20.570,10.428,13.813,20.712,24.934,28.515,31.944,47.836,98.455,0.049
15,1595.800,20.053,10.715,13.655,20.224,24.786,28.494,31.367,39.329,60.542,0.050
20,1566.200,20.420,10.491,13.684,20.372,24.871,28.477,31.638,51.312,113.558,0.049
25,1565.400,20.455,10.239,13.651,20.603,24.993,28.692,31.996,43.667,99.206,0.049
30,1467.600,21.786,10.377,13.729,20.403,24.874,28.660,31.988,49.006,395.881,0.046
35,1521.800,21.014,10.227,13.744,21.015,25.140,29.107,34.437,51.010,155.933,0.048
40,1397.800,22.906,10.014,13.583,19.929,24.843,29.307,35.738,90.135,417.449,0.044
45,1391.000,22.991,10.130,13.360,18.894,25.093,30.359,56.320,110.475,166.953,0.043
50,1350.400,23.698,9.897,13.893,21.224,25.722,31.137,40.684,83.749,415.709,0.042
55,1522.600,21.006,10.174,13.588,20.160,24.963,29.236,33.791,73.446,136.025,0.048
60,1402.800,22.813,10.046,13.489,19.773,25.485,32.853,55.066,92.169,182.851,0.044
65,1358.400,23.597,9.739,13.648,20.253,25.082,30.894,46.092,94.950,401.774,0.042
70,1437.600,22.221,10.110,13.854,20.588,25.322,31.164,43.781,76.799,158.909,0.045
75,1446.800,22.102,9.966,13.814,20.729,25.122,29.000,32.903,73.575,379.102,0.045
80,1567.800,20.415,10.690,13.826,21.059,25.169,28.879,31.640,39.815,58.583,0.049
85,1475.000,21.691,10.047,13.743,20.264,24.838,28.512,31.967,60.665,413.739,0.046
90,1548.600,20.648,10.196,13.582,20.172,24.869,28.660,32.252,54.076,201.538,0.048
95,1159.400,27.607,9.974,12.146,17.081,26.187,62.001,83.084,109.694,453.033,0.036
100,1584.400,20.199,10.742,13.774,20.526,25.014,28.506,31.203,39.353,68.088,0.050
105,1432.600,22.374,10.032,13.804,20.235,25.219,29.848,36.055,73.414,356.667,0.045
110,1498.400,21.320,10.062,13.479,20.223,25.365,30.068,35.521,74.653,174.944,0.047
115,1556.200,20.553,10.419,13.667,20.426,24.963,28.829,31.818,53.419,111.358,0.049
120,1585.800,20.167,10.647,13.598,20.495,24.958,28.774,31.459,40.124,64.207,0.050
125,1529.000,20.942,10.173,13.537,19.920,24.899,29.116,33.280,71.600,113.009,0.048
130,1526.200,20.956,10.295,13.693,20.321,25.632,30.061,33.755,55.902,85.414,0.048
135,1520.600,21.051,10.171,13.881,21.213,25.505,29.514,32.996,50.271,108.507,0.048
140,1326.000,25.356,10.241,13.845,21.355,26.236,30.783,34.811,100.186,872.115,0.039
145,216.000,142.050,10.086,17.409,63.783,239.526,370.846,446.875,580.993,1361.343,0.007
