Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1513.600,21.165,10.963,14.061,20.746,25.327,29.802,34.691,54.964,142.892,0.047
5,1441.600,22.206,11.154,14.398,22.340,27.206,32.126,36.290,49.418,86.820,0.045
10,1408.000,22.736,10.515,14.700,22.821,27.737,33.080,37.948,53.846,95.855,0.044
15,1410.600,22.660,10.890,14.624,22.415,27.821,33.134,37.596,52.685,92.221,0.044
20,1407.800,22.750,10.943,14.526,22.655,28.024,33.489,37.922,52.210,94.089,0.044
25,1382.400,23.138,10.619,14.782,22.926,28.520,33.775,38.298,55.844,89.598,0.043
30,1414.400,22.616,10.776,14.479,22.499,27.786,33.285,37.958,53.005,93.744,0.044
35,1395.800,22.908,10.323,14.792,23.086,28.030,33.171,37.723,54.265,89.159,0.044
40,1413.400,22.643,11.128,14.677,22.844,27.961,33.001,37.527,49.762,88.259,0.044
45,1396.200,22.922,10.349,14.528,22.691,28.097,33.767,38.996,54.686,119.832,0.044
50,1393.600,22.957,10.907,14.698,22.933,28.079,33.577,38.956,54.018,108.463,0.044
55,1411.200,22.683,10.420,14.696,22.785,27.898,33.088,37.648,50.805,104.204,0.044
60,1407.000,22.713,10.629,14.558,22.402,27.747,33.270,39.381,54.931,103.956,0.044
65,1066.200,30.016,10.325,15.338,24.732,32.463,45.417,72.289,181.695,419.982,0.033
70,1255.600,25.684,10.616,14.100,22.330,28.039,34.959,46.212,156.475,296.465,0.039
75,600.600,52.887,10.401,12.148,21.780,91.078,141.762,165.086,225.350,378.403,0.019
80,1315.800,24.307,10.261,14.481,22.852,28.873,34.966,41.120,103.291,246.041,0.041
85,1185.000,27.271,10.794,14.885,23.856,30.473,39.282,50.845,177.702,379.634,0.037
90,1312.400,24.135,10.504,14.622,23.155,28.555,34.746,41.968,87.355,261.469,0.041
95,1389.000,23.026,10.673,14.763,23.336,28.370,33.167,37.633,50.579,89.014,0.043
100,1391.800,23.005,10.642,14.552,23.010,28.411,33.920,38.347,53.790,99.497,0.043
105,1367.200,23.381,10.908,14.432,22.259,27.634,32.817,37.587,50.271,1020.123,0.043
110,1381.400,23.179,10.864,14.729,22.801,28.212,33.535,38.567,66.431,117.023,0.043
115,1443.800,22.026,10.752,14.279,21.878,27.086,32.371,36.744,49.341,83.953,0.045
