Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1120,1120.000,6037,20065,26956,29043,34593,43205,54921,107950,160439
1,1200,1200.000,5762,20109,25856,26516,32574,40384,48331,63637,99996
2,1211,1211.000,5786,19185,26179,26490,32369,40872,48970,68675,100098
3,1212,1212.000,5729,20196,26035,26469,32051,39652,47643,64340,92022
4,1153,1153.000,5742,20113,26020,27639,33736,44700,52020,69142,104111
5,1218,1218.000,4313,17938,24722,26235,31955,41462,52997,81235,100766
6,1196,1196.000,5563,20029,26393,26882,33243,42570,49575,63889,78301
7,1078,1078.000,5238,20349,26397,29637,34440,45829,57237,79407,696638
8,1187,1187.000,5466,19878,26469,27036,33316,42357,50496,65536,80100
9,1167,1167.000,5379,19602,26181,27256,33652,42784,52761,78163,100314
10,1243,1243.000,5134,19028,25138,25824,32400,41086,47847,60404,77971
11,1233,1233.000,5339,19927,25191,25904,31877,40864,47426,61350,76911
12,1208,1208.000,5639,20020,25865,26540,32848,41644,47166,62699,104643
13,1213,1213.000,5274,19216,26272,26329,33567,40878,46474,57875,89711
14,1105,1105.000,5384,20089,26842,30242,34334,46122,54474,79443,1006504
15,1025,1025.000,6052,21711,27746,29888,36200,47857,58165,81803,107336
16,1224,1224.000,5539,19325,25458,26146,31938,40575,47299,64882,111905
17,1171,1171.000,5398,19923,25823,27221,32785,44859,55553,70590,104666
18,1213,1213.000,4475,19263,25464,26468,32302,41188,49020,70323,89011
19,1166,1166.000,5356,20605,26181,27342,32868,43143,51346,71400,121014
20,1225,1225.000,5964,19290,24890,26252,31971,40971,48440,73828,105380
21,1182,1182.000,5906,20089,25515,26985,32965,42833,51133,67151,96709
22,1240,1240.000,5335,18602,25130,25695,31568,40467,49275,67354,84416
23,1201,1201.000,5384,19257,25713,26688,32849,43005,50850,61090,97264
24,1213,1213.000,5688,19661,25665,26320,32316,40890,47215,63722,100534
25,1178,1178.000,5599,20237,26889,27351,33397,42808,50673,63177,131290
26,998,998.000,5436,19404,25307,33008,33752,44836,54956,229071,1060825
27,1160,1160.000,5552,19404,25752,26661,32929,42061,49086,65314,115744
28,1191,1191.000,5752,20006,25820,26850,32441,42244,48586,67860,126223
29,1148,1148.000,5194,19693,26293,27765,34233,45732,53384,69127,89570
30,969,969.000,4292,15023,21187,39126,27984,42449,57561,751490,1048314
31,1030,1030.000,4898,16716,24673,25450,31605,39598,47101,69736,155916
32,1229,1229.000,5586,18670,25184,25945,31969,41418,47645,62879,88463
33,1174,1174.000,5492,19636,25543,27280,33228,43720,52691,66577,88679
34,1224,1224.000,4696,18831,25734,26279,32763,40822,48188,67378,87113
35,1227,1227.000,5239,18966,25946,25989,33066,41343,46202,57639,77093
36,1261,1261.000,5497,18910,24888,25386,31055,39451,46247,61374,85202
37,1255,1255.000,5606,19220,25262,25650,31800,40009,47983,61583,81472
38,1187,1187.000,5183,19081,24957,28559,32071,42031,50269,70882,926158
39,1068,1068.000,5915,18628,25215,28063,32191,42841,52073,71467,523794
40,1211,1211.000,5789,18887,25730,26387,33369,42507,49080,61060,76605
41,1192,1192.000,5640,19062,25808,26789,33960,43608,50740,64311,98475
42,1165,1165.000,5832,20245,26361,27391,32812,41579,52299,76314,125839
43,1222,1222.000,5258,19256,25971,26271,32722,40727,47820,65196,100072
44,1217,1217.000,5650,19325,25762,26340,32689,41199,47462,63227,90546
45,1191,1191.000,5844,20077,26060,26893,33413,41727,48935,62114,93126
46,1200,1200.000,4805,19340,25105,26596,32173,40273,49530,81513,124361
47,1162,1162.000,5402,19885,25164,28628,31504,39857,47432,62794,1023934
48,1163,1163.000,5673,18761,25102,26340,32113,40871,49071,69820,230442
49,1197,1197.000,5294,18712,25906,26765,32760,43040,50179,65147,153036
50,1243,1243.000,5488,19234,25274,25804,31249,39755,45662,61185,96714
51,1213,1213.000,5591,20201,25903,26412,32173,40078,48360,65609,80010
52,1258,1258.000,5642,19225,25156,25349,30798,37290,45220,59115,73475
53,1227,1227.000,5119,18208,25089,26152,32550,42073,49707,63947,120422
54,1208,1208.000,5356,18258,25181,26386,32795,42402,51753,71402,104430
55,1210,1210.000,5283,18132,25558,26513,32799,42707,50547,78410,114591
56,1161,1161.000,5450,19586,25087,30156,31022,38979,45662,72431,1016430
57,1064,1064.000,5411,16809,23686,27259,31905,42169,49996,90933,430858
58,1197,1197.000,4559,19195,26303,26793,32500,41399,49074,74059,87948
59,1246,1246.000,5629,18701,25115,25482,31580,39498,45652,59022,76939
60,1214,1214.000,5213,18695,25130,26509,32547,43122,50945,66697,123149
61,1215,1215.000,5480,19128,25441,26310,32328,42264,48090,65636,84684
62,1094,1094.000,5970,21959,28634,29301,36271,45541,52736,68122,84076
63,1140,1140.000,6166,20306,27484,27971,34937,44119,51430,67707,99693
64,1117,1117.000,5403,21303,27710,28699,35124,45648,52918,70512,96530
65,595,595.000,5951,20989,38911,59202,56401,152841,203223,296153,479861
66,640,640.000,5808,22873,30883,44854,47552,119896,141068,192599,252048
67,1253,1253.000,5343,18201,24866,25455,32032,40123,45507,58619,104437
68,1150,1150.000,4658,19503,25942,27848,32533,44928,60998,87390,114757
