Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,ReadModifyWrite,1683658058.880987,73066,31,1
1,ReadModifyWrite,1683658058.880988,74643,4,1
1,ReadModifyWrite,1683658058.882359,71275,29,1
1,ReadModifyWrite,1683658058.882370,72817,30,1
1,ReadModifyWrite,1683658058.882380,72625,28,1
1,ReadModifyWrite,1683658058.883769,72044,24,1
1,ReadModifyWrite,1683658058.883839,71625,27,1
1,ReadModifyWrite,1683658058.883856,76112,25,1
1,ReadModifyWrite,1683658058.883870,70695,23,1
1,ReadModifyWrite,1683658058.883960,69261,19,1
1,ReadModifyWrite,1683658058.884072,69609,20,1
1,ReadModifyWrite,1683658058.884088,73564,21,1
1,ReadModifyWrite,1683658058.884157,69860,22,1
1,ReadModifyWrite,1683658058.884169,69347,18,1
1,ReadModifyWrite,1683658058.884294,71303,17,1
1,ReadModifyWrite,1683658058.884373,68649,15,1
1,ReadModifyWrite,1683658058.884393,73114,16,1
1,ReadModifyWrite,1683658058.884497,68874,13,1
1,ReadModifyWrite,1683658058.884565,69474,14,1
1,ReadModifyWrite,1683658058.884670,68571,12,1
1,ReadModifyWrite,1683658058.884786,69404,11,1
1,ReadModifyWrite,1683658058.885302,70157,10,1
1,ReadModifyWrite,1683658058.885492,71089,9,1
1,ReadModifyWrite,1683658058.885656,68706,8,1
1,ReadModifyWrite,1683658058.885667,69241,7,1
1,ReadModifyWrite,1683658058.885683,68599,3,1
1,ReadModifyWrite,1683658058.885729,70956,5,1
1,ReadModifyWrite,1683658058.885775,66139,6,1
1,ReadModifyWrite,1683658058.885785,71978,0,1
1,ReadModifyWrite,1683658058.885813,69502,1,1
1,ReadModifyWrite,1683658058.885922,66961,2,1
1,ReadModifyWrite,1683658058.929822,13930,26,1
1,ReadModifyWrite,1683658058.950528,34073,26,1
1,ReadModifyWrite,1683658058.951953,16521,6,1
1,ReadModifyWrite,1683658058.952920,51228,2,1
1,ReadModifyWrite,1683658058.953054,45544,15,1
1,ReadModifyWrite,1683658058.953244,48070,19,1
1,ReadModifyWrite,1683658058.953343,48317,12,1
1,ReadModifyWrite,1683658058.953388,48716,13,1
1,ReadModifyWrite,1683658058.953531,48252,18,1
1,ReadModifyWrite,1683658058.953688,47665,29,1
1,ReadModifyWrite,1683658058.953698,45967,20,1
1,ReadModifyWrite,1683658058.954034,46504,22,1
1,ReadModifyWrite,1683658058.954050,47168,14,1
1,ReadModifyWrite,1683658058.954073,46386,31,1
1,ReadModifyWrite,1683658058.954255,47514,11,1
1,ReadModifyWrite,1683658058.954293,23797,3,1
1,ReadModifyWrite,1683658058.954384,48029,8,1
1,ReadModifyWrite,1683658058.954580,46374,23,1
1,ReadModifyWrite,1683658058.954922,48544,7,1
1,ReadModifyWrite,1683658058.955020,46848,28,1
1,ReadModifyWrite,1683658058.955207,46092,30,1
1,ReadModifyWrite,1683658058.955470,45235,10,1
1,ReadModifyWrite,1683658058.955480,44474,27,1
1,ReadModifyWrite,1683658058.955607,45432,17,1
1,ReadModifyWrite,1683658058.955647,45871,4,1
1,ReadModifyWrite,1683658058.955837,44359,24,1
1,ReadModifyWrite,1683658058.956597,46220,9,1
1,ReadModifyWrite,1683658058.956701,44013,5,1
1,ReadModifyWrite,1683658058.957175,47220,1,1
1,ReadModifyWrite,1683658058.957521,45817,16,1
1,ReadModifyWrite,1683658058.957668,48539,21,1
1,ReadModifyWrite,1683658058.957781,44324,0,1
1,ReadModifyWrite,1683658058.959982,40177,25,1
1,ReadModifyWrite,1683658058.968502,29949,6,1
1,ReadModifyWrite,1683658058.978116,50382,3,1
