Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,276.600,121.555,3.533,19.179,28.140,37.338,77.752,1033.670,1039.856,1048.239,0.008
5,167.000,250.965,3.065,15.912,18.294,29.000,1034.317,2006.329,2051.966,2054.928,0.004
10,76.800,270.640,4.919,16.688,24.041,995.728,1025.891,1030.449,1042.806,1043.709,0.004
15,278.600,136.223,3.053,16.002,17.485,29.950,1014.388,1028.544,1052.181,1057.830,0.007
20,120.200,239.319,3.025,15.788,25.480,35.706,1025.087,2019.309,3071.507,3077.633,0.004
25,153.400,228.709,2.896,15.221,16.694,31.689,1035.259,1043.366,2022.192,2037.477,0.004
30,65.200,413.636,2.980,16.856,23.098,997.254,1049.649,2032.570,2046.632,2051.766,0.002
35,80.400,422.505,2.967,15.056,25.480,38.806,2047.683,2050.246,3048.268,3050.951,0.002
40,289.600,154.710,2.978,15.734,18.641,31.789,49.825,1029.606,3040.966,3042.086,0.006
45,142.400,113.448,3.349,15.911,17.215,26.827,36.053,1026.860,1038.806,2031.072,0.009
50,198.400,213.443,2.890,15.437,17.083,26.100,38.594,2037.480,3031.750,3034.032,0.005
55,90.400,307.849,2.993,16.228,25.552,37.904,1059.854,2009.880,2014.961,2016.189,0.003
60,103.000,272.001,3.168,15.942,24.250,40.718,1035.280,2029.652,2037.433,2038.793,0.004
65,82.600,438.918,4.770,16.163,23.944,1025.935,1045.064,2044.156,3025.548,3028.342,0.002
70,243.200,117.876,3.160,15.613,21.407,30.774,51.868,1021.252,1040.410,1045.480,0.008
75,50.800,654.115,4.822,15.733,18.700,2009.762,2037.593,2038.937,3046.976,3047.473,0.002
80,170.800,283.362,3.389,15.762,24.607,40.230,1020.470,1027.368,4032.256,4033.780,0.004
85,49.400,410.379,3.251,15.434,17.218,990.968,2033.530,2033.865,2034.912,2035.462,0.002
90,145.000,225.195,3.066,15.351,18.228,30.147,1031.039,1036.593,2023.979,2026.391,0.004
95,81.600,308.515,3.190,16.510,26.148,34.397,1027.404,2037.031,2057.617,2059.552,0.003
100,219.800,158.690,3.173,15.798,17.131,35.572,1018.961,1030.564,1048.692,1063.091,0.006
105,100.000,279.081,3.348,15.654,19.687,1016.776,1039.753,1047.353,1064.463,1078.144,0.004
110,201.800,180.147,3.037,15.808,16.989,29.093,1026.840,1039.495,1048.637,2038.263,0.006
115,124.600,178.245,3.360,15.912,21.146,34.516,1035.447,1041.831,1067.217,1068.434,0.006
