Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1666.400,19.225,10.022,12.227,13.222,19.113,26.917,32.939,52.554,1016.694,0.052
5,1904.600,16.830,10.564,12.225,13.248,19.667,26.522,31.826,47.976,118.788,0.059
10,1520.200,21.411,10.333,11.883,12.997,20.893,34.664,53.275,132.381,499.608,0.047
15,1174.200,26.755,10.119,12.230,13.992,22.280,49.650,72.528,192.483,1045.087,0.037
20,1889.200,16.915,10.477,12.229,13.285,18.437,27.915,34.111,46.334,90.922,0.059
25,1649.600,19.401,10.118,11.847,12.790,17.146,24.705,29.621,90.724,895.613,0.052
30,1900.600,16.825,10.605,12.277,13.357,19.842,26.097,31.548,45.199,91.919,0.059
35,1810.400,17.666,10.133,12.056,13.012,18.191,24.952,29.891,42.480,855.997,0.057
40,1990.600,16.074,10.588,12.125,12.984,17.838,24.677,29.519,41.146,106.352,0.062
45,1908.000,17.340,10.125,11.933,12.794,17.737,24.141,28.969,41.837,734.325,0.058
50,1931.000,15.997,10.105,12.146,13.024,18.019,24.535,28.712,40.113,179.928,0.063
55,1800.800,17.776,10.172,11.998,12.892,17.669,24.626,29.667,54.039,1026.086,0.056
60,1738.800,18.698,10.288,12.051,12.918,18.463,25.252,31.056,51.276,1022.871,0.053
65,1721.800,18.276,10.156,11.915,12.876,17.770,24.514,29.617,51.348,1030.170,0.055
70,1867.200,17.126,10.164,12.048,12.968,18.691,25.269,31.090,59.611,266.083,0.058
75,1818.800,17.598,10.230,11.984,12.893,17.656,24.513,28.945,40.691,1028.913,0.057
80,1963.200,16.305,10.546,12.004,12.918,18.341,24.518,28.771,40.955,633.010,0.061
85,1739.800,18.387,10.264,12.098,13.086,18.908,25.076,30.120,46.550,771.265,0.054
90,1794.400,17.825,10.064,11.968,12.863,18.422,25.198,30.497,54.484,625.155,0.056
95,1745.200,18.647,10.180,12.096,13.116,18.286,25.111,30.087,43.356,1022.311,0.054
100,1911.600,16.457,10.368,11.937,12.874,17.831,24.192,28.923,42.745,694.520,0.061
105,1706.800,18.733,10.058,11.825,12.738,17.325,24.019,28.960,52.311,1019.083,0.053
110,1941.400,16.485,10.184,11.972,12.889,17.749,24.160,29.400,44.018,497.504,0.061
115,1633.400,19.304,10.195,11.956,12.881,17.461,24.979,29.868,73.773,1017.275,0.052
