Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,606.000,56.465,10.320,13.217,19.972,29.464,42.075,69.124,924.164,1040.391,0.018
5,321.400,92.934,10.082,12.309,19.392,29.641,59.041,896.879,1009.556,1034.302,0.011
10,673.600,47.434,10.013,13.396,21.430,30.834,42.805,54.155,897.336,1038.377,0.021
15,341.400,101.313,10.044,12.497,19.426,30.903,69.791,860.728,992.042,1858.992,0.010
20,684.600,47.250,10.067,13.415,21.175,30.989,45.271,57.738,918.650,1056.409,0.021
25,527.200,55.149,10.137,13.434,21.581,31.282,43.956,59.260,933.605,1009.911,0.018
30,823.600,39.444,10.336,13.798,21.767,31.073,43.346,52.511,943.562,1046.595,0.025
35,406.000,77.607,10.201,12.994,21.077,31.858,51.311,813.221,968.428,1094.202,0.013
40,383.600,91.098,10.201,12.450,19.314,28.656,49.426,874.960,1009.379,1974.226,0.011
45,276.800,108.227,10.073,12.722,20.125,30.786,51.407,835.492,1949.921,2670.979,0.009
50,383.800,81.006,9.993,12.879,20.649,32.064,51.086,848.878,969.684,1039.942,0.012
55,455.800,70.217,10.054,12.824,19.688,30.826,49.415,746.586,964.544,1851.232,0.014
60,450.000,71.129,9.963,12.852,20.071,30.415,46.917,758.947,965.614,1052.964,0.014
65,379.600,95.670,9.946,12.365,19.075,29.872,50.349,852.297,1861.174,2037.499,0.010
70,617.000,48.380,10.223,12.939,20.482,30.069,43.742,56.069,922.357,1079.307,0.021
75,352.200,84.586,9.902,12.399,19.235,30.321,50.747,833.090,981.284,1031.253,0.012
80,930.800,34.410,10.012,13.433,21.389,31.255,42.347,50.576,743.549,1032.034,0.029
85,551.200,62.846,9.987,13.256,20.961,30.617,45.280,72.606,952.926,1031.024,0.016
90,393.600,82.022,10.097,12.572,20.388,31.598,56.243,875.692,1008.022,1087.271,0.012
95,438.800,76.276,10.049,12.897,20.601,30.897,50.067,820.397,999.414,1077.239,0.013
100,426.800,64.583,10.260,13.067,21.164,30.973,47.595,128.926,986.183,1034.747,0.015
105,410.600,77.952,10.188,13.388,20.920,30.590,49.051,840.977,998.098,1042.068,0.013
110,427.200,84.195,10.193,12.738,19.945,29.875,49.707,824.909,950.636,1815.895,0.012
115,666.200,39.358,10.217,13.253,20.949,30.054,42.161,52.013,841.492,1019.130,0.025
