Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,ReadModifyWrite,1683064012.763985,134877,29,1
1,ReadModifyWrite,1683064012.763985,56456,30,1
1,ReadModifyWrite,1683064012.764570,153031,28,1
1,ReadModifyWrite,1683064012.764664,82036,31,1
1,ReadModifyWrite,1683064012.768866,48998,27,1
1,ReadModifyWrite,1683064012.769150,53416,26,1
1,ReadModifyWrite,1683064012.769388,84086,24,1
1,ReadModifyWrite,1683064012.769630,58351,25,1
1,ReadModifyWrite,1683064012.769880,53297,23,1
1,ReadModifyWrite,1683064012.770106,47537,22,1
1,ReadModifyWrite,1683064012.770318,48364,21,1
1,ReadModifyWrite,1683064012.770541,102285,20,1
1,ReadModifyWrite,1683064012.770753,48334,19,1
1,ReadModifyWrite,1683064012.771002,47960,18,1
1,ReadModifyWrite,1683064012.771223,89030,17,1
1,ReadModifyWrite,1683064012.771433,108634,15,1
1,ReadModifyWrite,1683064012.771641,66434,14,1
1,ReadModifyWrite,1683064012.771924,67087,13,1
1,ReadModifyWrite,1683064012.772196,55602,16,1
1,ReadModifyWrite,1683064012.772426,112744,12,1
1,ReadModifyWrite,1683064012.772646,47009,11,1
1,ReadModifyWrite,1683064012.772864,61710,9,1
1,ReadModifyWrite,1683064012.773079,735315,8,1
1,ReadModifyWrite,1683064012.773096,60883,10,1
1,ReadModifyWrite,1683064012.773368,46199,7,1
1,ReadModifyWrite,1683064012.781557,66320,6,1
1,ReadModifyWrite,1683064012.781918,91188,5,1
1,ReadModifyWrite,1683064012.782399,85814,4,1
1,ReadModifyWrite,1683064012.782674,84579,3,1
1,ReadModifyWrite,1683064012.782918,71328,1,1
1,ReadModifyWrite,1683064012.783157,70794,0,1
1,ReadModifyWrite,1683064012.783384,45377,2,1
1,ReadModifyWrite,1683064012.817752,54210,22,1
1,ReadModifyWrite,1683064012.817880,37809,27,1
1,ReadModifyWrite,1683064012.818723,14015,21,1
1,ReadModifyWrite,1683064012.818979,15370,18,1
1,ReadModifyWrite,1683064012.819113,38625,19,1
1,ReadModifyWrite,1683064012.819584,90350,7,1
1,ReadModifyWrite,1683064012.819672,13592,11,1
1,ReadModifyWrite,1683064012.820457,670446,30,1
1,ReadModifyWrite,1683064012.822581,73445,26,1
1,ReadModifyWrite,1683064012.823194,74819,23,1
1,ReadModifyWrite,1683064012.827823,37229,16,1
1,ReadModifyWrite,1683064012.828002,45196,25,1
