Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,544,544.000,10562,12618,19596,86375,36945,120602,913544,1016800,1042173
1,186,186.000,10742,12586,19849,185861,34317,994796,1013213,1034707,1055664
2,600,600.000,10564,12471,17986,24658,27584,39138,55659,140239,217712
3,270,270.000,10503,11988,16818,123447,29328,814134,913639,960402,1039736
4,1221,1221.000,10271,12796,19697,40769,28993,38592,50528,755597,885900
5,491,491.000,10499,11762,18549,58669,27700,45151,138033,977691,1026142
6,224,224.000,10158,11570,16033,71438,25786,41493,842092,888128,902269
7,355,355.000,10071,11739,18577,101807,28527,45245,937179,1012270,1023144
8,436,436.000,10195,11771,16995,74766,28510,43082,759138,834474,903924
9,451,451.000,9472,11888,17968,86510,28250,43193,943124,1019562,1025691
10,716,716.000,10109,11893,17195,63390,27678,41504,133022,992440,1949163
11,147,147.000,10322,11503,16760,218659,33890,991434,1005237,1030941,1051566
12,320,320.000,10811,12314,19752,20740,26536,33967,37364,46158,50534
13,525,525.000,10318,12100,18464,66573,28059,40816,728707,860613,915910
14,880,880.000,10466,12296,18473,56061,29520,54521,87773,937954,1035155
15,559,559.000,10616,12209,19178,20893,26849,34199,41154,51056,62338
16,584,584.000,10202,12278,18670,98039,28023,37899,688264,1730997,1778362
17,58,58.000,10132,10407,10590,138952,16705,668207,998211,1053850,1053850
18,180,180.000,10348,11732,19954,188195,32287,971548,998779,1016686,1024444
19,387,387.000,10102,11615,17512,85852,26819,42699,822858,903928,918960
20,620,620.000,10395,12140,18800,69336,27459,40093,856760,1017665,1068865
21,453,453.000,10164,11546,17909,76795,27989,53364,779836,878004,1015594
22,632,632.000,10625,11965,17911,59606,26431,39012,65543,999783,1034595
23,146,146.000,10277,11443,16569,136215,27067,890469,1008477,1037233,1192551
24,111,111.000,10188,10922,13397,190118,29151,965205,1021208,1163119,1172938
25,498,498.000,10223,11516,16898,81044,27707,75439,877486,1006236,1019708
26,647,647.000,10287,11834,18717,61482,28126,40406,65170,900843,949032
27,331,331.000,10399,11818,18082,126454,28372,56546,966925,1948968,2014491
28,128,128.000,10278,11117,15110,209413,30226,946787,959002,976566,980373
29,485,485.000,10873,12076,18701,28878,27112,37117,42307,66338,994596
30,298,298.000,10498,11939,16026,133178,26868,819122,887177,1014340,1029876
31,191,191.000,10187,11078,12512,108256,26151,724001,917814,970387,971489
32,252,252.000,10158,11266,12896,135795,25069,894105,994797,1021834,1036776
33,195,195.000,10323,11790,17398,175297,29657,975484,1008479,1024476,1033102
34,698,698.000,10143,12032,18249,53778,26882,36275,53876,799210,839797
35,255,255.000,10142,11479,16035,136717,29169,932302,986556,1020776,1028055
36,917,917.000,10684,12337,19292,25270,26342,35411,41115,53058,1037959
37,145,145.000,10165,10937,11994,197802,26214,991763,1010313,1026512,1027280
38,331,331.000,10012,11995,17346,107223,29748,56804,939294,994123,1035911
39,635,635.000,10295,12119,18994,59966,27939,38566,723333,874501,978281
40,390,390.000,10009,11459,15699,92127,26213,62864,904498,976318,1024451
41,825,825.000,10907,12517,18570,35200,27606,36449,42238,975797,1093515
42,170,170.000,10292,11313,17398,129911,30844,783935,907231,1015050,1021495
43,573,573.000,10363,11977,17004,71563,26608,40677,886133,1003507,1055191
44,611,611.000,10442,11819,16263,68613,26223,38409,829120,1003978,1034327
45,316,316.000,10263,11449,16867,127324,27501,734475,922047,1783055,1812336
46,153,153.000,10200,10964,12077,183053,30286,919785,950744,1008055,1015154
47,349,349.000,10642,12766,19552,24198,26698,36917,41311,58693,1023294
48,250,250.000,10586,11802,16052,126216,26620,841991,907872,991199,1008227
49,747,747.000,10197,12191,19005,60641,28295,40814,57288,995979,1031437
50,450,450.000,10242,12264,19566,86419,29049,41347,919179,1019267,1031857
51,493,493.000,10931,13031,20915,23018,29695,38752,46354,56286,60728
52,746,746.000,10103,12565,19902,60602,29553,42546,65171,959122,1001362
53,327,327.000,13948,24574,36148,91322,55283,146978,640431,995700,1019409
54,702,702.000,10606,12287,20226,29715,32025,50455,67823,220140,478017
55,326,326.000,10079,11798,17386,98085,27318,52508,824091,896717,952764
56,189,189.000,10389,11422,15216,177959,29220,961353,995440,1015770,1020605
57,967,967.000,10253,12285,19809,48268,29116,43644,71233,819429,925370
58,313,313.000,10294,11196,15945,107924,25615,716607,926367,1004044,1014556
59,241,241.000,10382,11580,17265,143722,28527,917111,981153,1029041,1036518
60,440,440.000,10801,12342,17905,25945,35095,51480,64804,91351,120621
61,360,360.000,10324,11683,19007,107701,35271,346257,781911,1023180,1034217
62,284,284.000,10118,11635,16173,95574,27373,649882,693977,764793,1040450
63,252,252.000,10179,11559,17395,123593,29706,812532,897444,1003478,1009238
64,209,209.000,10222,10989,11798,152858,54199,849963,878280,967386,1021213
65,253,253.000,10240,11755,18939,128726,31507,845157,885900,934375,975519
66,156,156.000,10335,11412,15378,217298,34508,1008548,1023175,1039352,1040293
67,909,909.000,10222,12184,19190,47281,29602,41574,52147,798519,907255
68,242,242.000,10280,11331,15975,132710,28551,824230,914760,945583,984100
69,732,732.000,10321,12134,18373,59388,27728,40116,52591,1018893,1995141
70,146,146.000,10218,10834,11789,199740,86796,991048,1010104,1082209,1095410
71,122,122.000,10156,10800,13169,72027,25869,121173,239915,947576,976603
72,754,754.000,10262,12541,19846,51891,28442,41062,56913,769301,814959
73,483,483.000,10196,12095,17997,70814,28649,45429,709481,929209,989661
74,250,250.000,10248,10929,12961,131086,26042,741696,827383,1081444,1251782
75,930,930.000,10265,12016,18722,23478,27651,37643,45778,162255,247365
