Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1346,1346.000,11402,14764,20385,24024,26794,38272,49586,93821,122974
1,1409,1409.000,11595,15496,21707,22645,27337,32176,37231,51896,70196
2,1360,1360.000,11169,14757,21591,23598,26991,33862,42641,89606,160346
3,1488,1488.000,11366,14813,21629,21545,26106,30394,33887,42764,69571
4,796,796.000,10087,15914,24726,40020,39966,73554,88807,320602,337169
5,1050,1050.000,10255,14535,21640,30472,26456,32299,38778,349239,369238
6,1515,1515.000,11336,14601,21167,21081,25888,30076,32780,41113,57566
7,1508,1508.000,11413,14609,21150,21196,26097,30383,32842,41047,55045
8,1489,1489.000,11394,15076,21583,21448,25935,29689,32960,43355,65575
9,1544,1544.000,11190,14412,21173,20759,25466,29321,31749,37887,51914
10,1411,1411.000,10385,14075,19689,22707,25691,31543,42687,95308,116910
11,1527,1527.000,10930,14301,20717,20969,25301,29360,33655,46052,67558
12,1535,1535.000,11197,14287,20543,20824,25689,29480,32240,40775,60435
13,1484,1484.000,11331,14812,22062,21587,26159,30238,33443,42719,73942
14,1433,1433.000,11411,14500,21808,22324,26084,30617,35765,78949,102393
15,1461,1461.000,10123,14613,21703,21981,25666,29422,33347,83777,101306
16,1555,1555.000,11305,14244,20933,20496,25085,29038,31511,39977,55202
17,1530,1530.000,11367,14375,20960,20998,25818,30305,33192,41241,68020
18,1510,1510.000,11199,14497,21052,21089,25778,29686,33065,41431,59029
19,1540,1540.000,11374,14354,21298,20792,25637,29031,32081,38935,55323
20,1560,1560.000,11251,14351,20669,20419,25157,28605,31059,38507,55180
21,1545,1545.000,11331,14357,21140,20713,25537,29162,31591,39184,53269
22,1533,1533.000,10997,14273,21394,20863,25754,29071,31969,42202,60100
23,1510,1510.000,11130,14386,21258,21209,25874,30411,33529,40272,71842
24,1415,1415.000,10555,13919,20770,22637,25207,30589,47555,85854,109276
25,1569,1569.000,11075,14082,20929,20358,25004,28141,30852,38792,73936
26,1514,1514.000,11409,14356,21468,21123,25667,29479,31985,42414,64812
27,1536,1536.000,11255,14328,21365,20907,25402,29153,32090,45752,54174
28,1543,1543.000,11246,13966,21087,20709,25756,29500,31764,39097,52989
29,1539,1539.000,11166,14276,21087,20809,25215,28950,32801,44581,60469
30,1385,1385.000,11429,14562,22341,22972,26427,30794,45292,69049,82188
31,1533,1533.000,11277,14441,21142,20922,25596,28822,32354,43736,55527
32,1545,1545.000,11534,14399,21296,20722,25515,28524,31036,38963,50830
33,1561,1561.000,11374,14098,21069,20502,25454,28718,31019,39610,57578
34,1016,1016.000,10459,14038,21282,31509,25753,30338,59339,346551,380149
35,1556,1556.000,11033,13971,20111,20562,25080,29355,32157,45857,74736
36,1311,1311.000,10401,13410,17867,24444,25361,45875,76899,104746,121355
37,1521,1521.000,11070,14417,21371,20988,25724,29306,32165,42106,60925
38,1550,1550.000,11294,14172,20868,20628,25589,29207,31830,38591,59407
39,1561,1561.000,11372,14193,20711,20518,25452,28759,31166,39132,55413
40,1551,1551.000,11194,14178,20715,20654,25534,29145,32344,40542,70280
41,1314,1314.000,11437,14522,22226,24311,26588,36416,56109,83243,119739
42,1483,1483.000,10500,14140,20447,21533,25400,29373,34167,76670,112885
43,1381,1381.000,11205,14258,20940,23145,25858,31733,48409,84580,150757
44,964,964.000,10542,14160,20864,33391,25539,29899,36564,428635,447367
45,1445,1445.000,10506,14436,21897,22133,26069,30005,34329,82407,107358
46,1264,1264.000,11293,15174,23226,25525,29164,40698,58676,76151,125406
47,1081,1081.000,11354,15396,23829,29239,31737,57047,80145,88190,108517
48,1492,1492.000,11162,14388,21996,22712,26022,30514,34535,98663,111637
49,900,900.000,11470,15253,25617,33452,48201,62458,67593,85480,160927
50,1542,1542.000,11280,14316,21282,20782,25579,28952,31400,37570,51551
51,1537,1537.000,11166,14315,21655,20866,25464,28954,31821,42986,55457
52,1466,1466.000,10436,13896,20378,22126,25605,30573,38477,91114,120051
53,1281,1281.000,10471,13937,19453,24507,25234,33442,73187,123417,152246
54,1568,1568.000,11010,14162,21007,20443,25016,28633,31069,39527,62201
55,936,936.000,10722,14423,20709,34110,26247,32331,62013,397025,406152
56,1481,1481.000,10402,14323,20299,21627,25987,30111,34066,72682,108219
57,1250,1250.000,11220,15013,22710,25707,28353,43156,65017,82690,110280
58,1404,1404.000,11287,14935,22515,22709,26859,31699,37130,53397,83038
59,1552,1552.000,11354,14132,21189,20647,25639,29106,31909,37809,54878
60,1497,1497.000,11275,14531,21059,21276,25715,29589,32857,50688,75042
61,1534,1534.000,11312,14363,21504,20953,25932,29332,31669,39107,54420
62,1525,1525.000,11064,14194,21070,20888,25549,29803,32997,43173,66422
63,1007,1007.000,11511,17866,27675,32587,39466,54869,77853,105959,136382
64,773,773.000,12351,25390,34068,40333,50706,75057,76995,86637,97578
65,1406,1406.000,11213,14151,20903,22790,25082,28899,44438,91533,104910
66,911,911.000,10456,14448,22007,35128,26163,31979,81143,386808,398414
67,1512,1512.000,10522,14009,20894,21127,25425,29960,32990,51983,89627
68,1431,1431.000,10573,14301,20868,22468,25893,30970,38705,82381,106096
69,1492,1492.000,10485,14266,20937,21367,25391,29636,33145,71006,106233
70,1107,1107.000,11225,15421,24566,29480,32789,58228,70410,88514,125588
71,1331,1331.000,10706,14006,21757,23602,27204,34580,50116,77489,130757
72,1533,1533.000,11427,14207,20911,20841,25648,29532,32852,41458,53397
73,1538,1538.000,11114,14083,21187,20775,25311,29490,32769,43066,67783
74,1335,1335.000,10513,13649,18473,24147,26525,38176,63654,105125,128649
75,1248,1248.000,11459,16465,24225,25478,30712,42188,44600,60820,91916
76,1499,1499.000,10489,14271,20953,21421,25706,29570,32426,68393,101777
77,939,939.000,10532,14044,21590,33954,26429,33558,77758,371788,385013
78,1535,1535.000,11340,14211,21104,20832,25588,29214,32096,43054,56866
79,1526,1526.000,11127,14313,21278,20960,25763,29416,32482,42344,68505
80,1549,1549.000,11202,14081,21145,20636,25410,28860,31253,42433,67053
81,1501,1501.000,10866,14241,21279,21340,25942,30155,33901,48271,65192
82,1507,1507.000,11433,14613,21846,21262,25810,29699,33224,41890,51054
83,1490,1490.000,11236,14417,21809,21459,26505,30621,34484,44942,68511
84,1551,1551.000,11380,14303,20849,20637,25218,29122,32373,40404,53359
85,1530,1530.000,11451,14243,21612,20914,25864,29347,32095,40168,66775
86,1524,1524.000,10549,14195,20440,20950,25519,29417,32940,47597,87044
87,937,937.000,10395,14145,20983,34174,25417,30938,75464,398543,415271
88,1530,1530.000,11063,14420,21280,20917,25511,29595,33202,41058,55208
89,1507,1507.000,11222,14637,21465,21196,26051,29728,32386,39836,62961
90,1517,1517.000,11449,14435,21603,21119,25932,29400,32356,40028,57352
91,1213,1213.000,11457,14874,23228,26156,29064,43466,61407,80954,122806
92,1516,1516.000,11407,14622,21427,21388,26091,30500,33727,41084,61707
93,1552,1552.000,11079,14219,20381,20519,25197,29033,31944,39644,65555
94,1574,1574.000,10819,14253,20105,20345,25123,28593,31250,39061,53553
95,1522,1522.000,10990,14301,21579,21028,25734,29381,32377,41445,61489
96,1028,1028.000,11538,19270,26257,32315,37969,63727,74749,86774,137662
97,741,741.000,13450,24894,38700,41457,52847,63278,70993,114706,155899
98,559,559.000,15403,25285,30808,57434,45235,81874,394109,417502,432095
99,735,735.000,13735,27779,34916,44915,59805,79931,90093,94064,164597
100,1351,1351.000,11200,14467,22152,22860,27396,35621,39920,51906,71715
101,1537,1537.000,11179,14448,21163,20888,25671,29180,31847,40652,50579
102,1520,1520.000,11387,14421,21248,20965,25949,29697,32576,38659,50590
103,1519,1519.000,11313,14173,21641,21090,25525,29728,33379,42827,56951
104,1535,1535.000,11173,14303,21292,20827,25344,28849,32149,42330,53330
105,1542,1542.000,11136,14326,20397,20760,25712,29755,33244,39758,50116
106,1522,1522.000,10923,14148,20835,21056,25722,30563,33942,44887,67020
107,1522,1522.000,11366,14312,21172,20958,25920,29826,32831,41467,52905
108,1456,1456.000,10622,14133,21028,22425,25960,31627,37569,86373,112530
109,1035,1035.000,10396,14073,21457,30286,25463,30068,38367,341791,354182
110,1192,1192.000,11621,16625,23889,27111,32531,42027,59311,76061,126472
111,962,962.000,11834,19964,27181,33017,46820,58199,62806,75502,98141
112,1552,1552.000,11260,14238,20679,20512,25278,29060,31499,38745,53349
113,1516,1516.000,10904,14696,21638,21170,25903,29546,31955,38799,65231
114,1537,1537.000,11423,14212,21310,20827,25622,29316,32471,38674,64428
115,1528,1528.000,11278,14269,21379,20920,25904,29503,32406,40361,60592
116,1547,1547.000,11458,14136,21049,20646,25661,29051,31942,40585,62113
117,1541,1541.000,11190,14394,20817,20787,25645,29281,31901,39854,59548
118,1474,1474.000,10986,14457,21213,21697,25574,29807,34161,66551,94088
119,1383,1383.000,10712,14373,21234,23124,25945,31432,40417,92629,117102
120,1562,1562.000,11398,14231,20858,20557,25137,28695,31398,41023,52166
121,1562,1562.000,11027,14023,20063,20408,25019,29164,32440,41633,57422
122,1536,1536.000,11179,14797,21361,20844,25333,29140,31809,37269,51689
