Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,601,601.000,10242,11940,17435,95154,31906,281385,631941,1001401,1031392
1,221,221.000,10419,11883,19127,48113,25952,34711,44537,952799,986142
2,185,185.000,10189,11349,16182,162275,37914,901205,952026,972313,978856
3,553,553.000,9957,11611,17963,79496,30063,64783,917787,1010091,1039893
4,850,850.000,10178,12332,19792,21804,27715,35509,41599,58520,97380
5,363,363.000,10029,11694,17773,96394,26047,153272,870640,976643,1015792
6,444,444.000,9955,11652,17596,86027,26699,41936,904792,975227,1026733
7,407,407.000,9836,12069,19475,100861,27229,43940,979133,1022045,1995132
8,228,228.000,10030,10707,11680,135138,23646,889586,945865,1008271,1027131
9,611,611.000,9916,12146,18276,63178,26722,39158,784719,921771,978026
10,355,355.000,9904,11690,18844,23065,26026,35146,43136,83425,753716
11,284,284.000,10095,11752,18338,129032,29603,959062,1004387,1031267,1034328
12,193,193.000,10033,11042,15251,172479,25691,950240,1003384,1029229,1030634
13,647,647.000,10097,11773,17458,63292,25409,35087,58220,979787,1022006
14,753,753.000,10589,12100,19003,22686,26895,39303,54902,78820,90659
15,216,216.000,9886,11056,16362,151832,42362,868102,934559,978335,985603
16,1139,1139.000,9839,11873,18459,38007,26980,36283,44116,679918,734604
17,156,156.000,10190,11151,16177,214970,38286,983422,999530,1017538,1027635
18,429,429.000,10012,11171,16929,79973,27357,38185,829154,918567,1040072
19,216,216.000,10234,11242,17223,152006,25810,901022,946966,1009479,1018178
20,731,731.000,10451,11995,18369,34955,26263,36264,42591,902350,951497
21,325,325.000,9849,11098,15727,84503,25407,61159,792335,992981,1020279
22,213,213.000,10306,11144,17186,124773,30857,858928,902226,926680,928974
23,694,694.000,10009,11878,18016,92116,25225,37356,60385,1980373,2099554
24,50,50.000,9927,10263,10579,234382,18725,1036942,1043836,1167226,1167226
25,828,828.000,9942,11570,17789,47417,26460,39735,120055,789353,845371
26,497,497.000,9871,11886,18294,29338,26417,35164,41572,673462,974065
27,456,456.000,9871,11092,14557,66172,23133,33614,684962,897382,930575
28,347,347.000,9909,11435,16324,102882,27269,51853,927866,1010566,1026967
29,469,469.000,9908,11331,16344,66306,24970,38755,695947,784303,838807
30,481,481.000,10149,11874,18818,79798,27150,39070,882681,1011192,1023970
31,268,268.000,9935,11396,17197,151886,27290,963398,1012572,1922365,1977834
32,113,113.000,10127,10629,11766,237271,64779,965041,969697,998306,1007037
33,545,545.000,10008,11503,17754,66920,26351,37145,766200,891666,937832
34,418,418.000,9967,11420,15967,86300,25051,38125,925021,999244,1022845
35,481,481.000,10383,11541,17231,43821,24546,33394,41077,901110,961138
36,408,408.000,9790,11217,15791,53065,24902,39219,68968,805731,817094
37,1125,1125.000,9826,11801,18145,40479,26269,35315,42822,778295,913105
38,322,322.000,10024,11127,18188,110086,30326,123948,895745,1006806,1021275
39,457,457.000,10118,11783,18435,80934,27276,38866,853832,956061,1008686
40,318,318.000,10143,11387,17813,115043,27583,915929,984663,1017333,1033123
41,275,275.000,10496,11767,17488,19969,26168,34066,37126,49414,56884
42,518,518.000,10052,11775,18366,73734,28400,39291,823138,942117,1105494
43,931,931.000,10017,11794,18354,52654,28464,42618,122596,865691,929800
44,415,415.000,10686,12241,19051,20825,26600,34895,38630,50053,64030
45,389,389.000,10142,11762,17984,86331,27661,43754,821149,885307,966250
46,277,277.000,9966,10944,15219,126705,24485,934241,980169,1032478,1050549
47,411,411.000,9827,10923,13461,79223,26356,57337,769804,869680,918013
48,822,822.000,10053,11810,18250,49048,27379,37141,50187,793170,847170
49,874,874.000,10199,11995,19046,33527,26838,34217,39417,881159,971875
50,337,337.000,9890,11366,17136,62783,26388,37656,755009,824864,850499
51,285,285.000,9852,11209,16042,117926,26998,839023,923102,985637,996420
52,1067,1067.000,9981,12353,19633,51043,30463,48511,65681,978508,1033678
53,203,203.000,14281,18701,34110,46391,54222,95843,132996,195199,255316
54,391,391.000,10096,19708,51379,78186,103324,179933,231720,387829,413910
55,628,628.000,9940,12208,19922,70272,34127,59719,718155,999238,1077855
56,516,516.000,9785,11841,19103,67798,33956,52288,721186,778597,806660
57,723,723.000,10267,11996,17906,44269,28948,40891,51565,998397,1029701
58,227,227.000,9982,10750,13010,145337,26692,877314,992320,1019413,1021324
59,150,150.000,10075,10794,14803,105906,26722,782322,917769,952553,954111
60,319,319.000,9972,11507,17103,108882,28778,716911,927542,1012330,1054022
61,353,353.000,9863,11183,15245,101967,28000,54105,931879,1009876,1026793
62,451,451.000,9913,12167,16064,79644,29317,84340,742834,910512,1009969
63,328,328.000,9982,11671,19568,120413,31036,68902,969332,1051850,1856217
64,155,155.000,9935,10518,13878,200952,38796,841967,926653,1910961,1922851
65,156,156.000,10017,10938,15159,182519,29187,947448,995072,1013071,1023731
66,285,285.000,10124,11372,17237,119380,27084,843586,938952,976167,985748
67,547,547.000,10070,11435,16900,81079,26873,41684,929451,1068878,2034372
68,149,149.000,10130,10644,15388,206548,28211,1003416,1031629,1110674,1137022
69,232,232.000,10116,12122,19123,21799,27996,34741,43220,68358,107329
70,337,337.000,9983,11556,17305,142166,28662,72030,1003731,1916620,1979221
71,71,71.000,10226,10736,12987,266751,858598,997637,1021589,1047811,1047811
72,736,736.000,10003,11525,18209,64866,26835,46105,240440,957151,1028799
73,475,475.000,10092,11578,18381,71210,27815,39805,756491,818015,992028
74,467,467.000,9995,11113,16816,63929,25470,46605,145209,1019107,1026201
75,164,164.000,9959,10991,15765,83438,25474,46706,846190,952809,956794
76,806,806.000,10068,11806,17840,56178,28430,40091,53321,942415,1037250
77,430,430.000,9800,11564,17022,86728,25992,44436,909570,976581,1033995
78,494,494.000,9780,11314,16057,74642,25465,37438,834745,1002669,1019574
