Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,687,687.000,4915,17763,23811,71998,31775,42165,73042,1031277,1034104
1,798,798.000,5047,15794,16760,18558,18850,24632,32968,62143,66521
2,1570,1570.000,3610,15956,17148,26688,24385,32390,41902,79284,1029651
3,22,22.000,1010478,1020348,1022813,1021600,1024053,1025348,1027324,1028954,1028954
4,1703,1703.000,4848,15832,16801,18602,21140,26959,29701,39829,53422
5,1579,1579.000,3049,15088,15968,38390,24439,27127,28314,1032943,1036552
6,199,199.000,3111,14785,15464,15807,16538,23812,27283,29264,29379
7,69,69.000,4876,15507,16168,482203,1024081,1027120,1027749,1028568,1028568
8,1800,1800.000,3121,14921,15639,17040,17175,25860,27459,36366,47554
9,668,668.000,4776,14985,15547,63406,16131,17551,25716,1027530,1029026
10,748,748.000,3318,15609,16455,60262,19022,26377,27729,1033348,1035173
11,438,438.000,4753,15118,15672,19570,16699,26023,61927,66100,67416
12,1444,1444.000,4709,15215,15914,40345,24398,26675,35051,1026954,1028411
13,275,275.000,3117,16066,17422,20901,26469,29095,36697,48338,49432
14,617,617.000,4830,15124,15651,70678,16786,36853,1039760,1042902,1046930
15,205,205.000,4813,14999,16663,167867,29853,974879,985940,986477,987085
16,1121,1121.000,4632,14997,15597,16032,16266,25002,26648,28089,30159
17,1856,1856.000,3558,15063,15849,34262,17046,26234,28460,1031825,1033448
18,23,23.000,4854,15124,15973,19284,26441,26582,26623,26797,26797
19,1761,1761.000,4486,14981,15720,35966,18240,27173,37768,1017138,1019256
20,39,39.000,5050,14926,15548,14558,16096,16439,16624,16752,16752
21,1424,1424.000,4654,14943,15695,62698,24854,30037,34096,2034452,2044070
22,1,1.000,1034306,1034306,1034306,1034306,1034306,1034306,1034306,1034306,1034306
23,285,285.000,4802,15064,16270,19979,25101,33496,33994,35141,36451
24,785,785.000,4745,15048,15949,59928,18305,26948,44615,1034987,2040858
25,35,35.000,2940,1021086,1022065,907269,1026602,1027388,1027820,1029237,1029237
26,658,658.000,3139,14702,15320,64665,16544,24501,27806,1029861,1030890
27,344,344.000,3312,15301,16074,19070,24905,27288,32309,37160,37864
28,1890,1890.000,4734,15048,15784,17032,16782,26153,27642,34561,36063
29,226,226.000,4716,15018,15831,156291,21173,1003517,1004130,1005079,1005338
30,1152,1152.000,3346,14926,15919,46579,25412,28931,44139,1025920,1027090
31,407,407.000,4766,14921,15557,16900,18832,25404,25805,26641,26975
32,1771,1771.000,3287,15121,15864,18234,24931,26649,27520,37298,44112
33,1679,1679.000,3513,15185,16091,18896,25317,26936,35008,44313,45315
34,1794,1794.000,4666,15277,15912,18017,17748,27060,34201,40451,47646
35,1446,1446.000,3318,14762,15311,36926,16022,21172,27160,982360,983131
36,93,93.000,4942,15408,16108,362751,1020430,1035591,1036689,1038082,1038082
37,441,441.000,2752,15924,16919,19165,24006,26911,35253,45418,45773
38,1836,1836.000,3054,15349,16274,17430,17902,25617,28164,35494,37751
39,1749,1749.000,3644,15373,16094,18346,17960,26533,36055,52499,64068
40,34,34.000,4975,1026015,1036640,973086,1037499,1039726,1040705,1042103,1042103
41,361,361.000,4932,15419,16074,100930,16981,26953,974839,976146,976894
