Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1614.800,19.855,10.660,13.416,19.395,23.828,28.215,32.015,47.911,99.658,0.050
5,1523.600,20.989,10.585,13.732,20.742,25.882,30.528,34.605,46.658,86.491,0.048
10,1436.200,22.278,10.780,14.152,22.553,27.486,32.299,37.252,52.089,84.041,0.045
15,1425.200,22.459,10.381,14.209,22.558,27.672,33.389,38.229,51.632,93.286,0.045
20,1435.600,22.285,10.743,14.035,22.362,27.582,32.598,37.461,52.696,104.952,0.045
25,1442.600,22.181,10.193,13.888,22.279,27.321,32.516,37.862,54.092,107.723,0.045
30,1452.200,22.015,10.665,13.965,22.214,27.444,32.494,36.556,48.693,69.073,0.045
35,1396.400,22.937,10.741,14.437,23.267,28.258,33.416,38.212,53.423,88.246,0.044
40,1441.800,22.185,10.446,14.058,22.421,27.413,32.739,36.795,52.043,104.513,0.045
45,1430.800,22.358,10.698,14.124,22.447,27.499,32.801,37.422,53.582,90.187,0.045
50,1428.400,22.386,9.854,14.113,22.292,27.513,32.795,37.418,52.880,120.440,0.045
55,1424.400,22.457,10.883,14.152,22.652,27.843,32.881,37.509,50.921,81.974,0.045
60,1428.200,22.405,10.376,13.992,22.439,27.690,33.196,38.389,51.782,96.021,0.045
65,1282.800,25.528,10.645,14.223,23.405,29.486,37.046,46.129,104.410,393.059,0.039
70,1277.600,24.469,10.076,13.865,21.909,27.066,33.652,41.599,148.705,418.503,0.041
75,806.400,39.831,10.062,13.405,22.686,51.661,96.247,125.323,183.398,355.635,0.025
80,1147.200,27.758,9.812,13.374,20.594,28.380,38.963,87.596,181.563,427.484,0.036
85,1408.800,22.722,10.591,14.075,22.900,28.222,33.507,38.455,54.936,96.912,0.044
90,1157.000,27.645,10.110,14.354,23.063,29.231,40.522,55.746,154.528,344.040,0.036
95,1427.000,22.429,10.759,14.151,22.747,27.818,32.874,37.539,52.777,110.010,0.045
100,1434.400,22.307,10.372,14.094,22.262,27.677,32.806,37.811,52.650,101.366,0.045
105,1414.600,22.619,10.665,13.986,21.966,27.263,32.591,36.812,49.227,1021.873,0.044
110,1426.200,22.403,10.221,14.094,22.359,27.326,32.760,37.769,56.950,104.210,0.045
115,1409.000,22.618,10.327,13.915,22.055,26.934,32.401,36.966,49.704,1031.372,0.044
