Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,ReadModifyWrite,1683064880.066956,61630,21,1
1,ReadModifyWrite,1683064880.067344,56039,2,1
1,ReadModifyWrite,1683064880.067356,82013,7,1
1,ReadModifyWrite,1683064880.067375,76525,4,1
1,ReadModifyWrite,1683064880.067449,64570,10,1
1,ReadModifyWrite,1683064880.067458,65363,20,1
1,ReadModifyWrite,1683064880.067459,63695,5,1
1,ReadModifyWrite,1683064880.067480,57471,3,1
1,ReadModifyWrite,1683064880.067485,68102,11,1
1,ReadModifyWrite,1683064880.067496,58411,22,1
1,ReadModifyWrite,1683064880.067547,65813,19,1
1,ReadModifyWrite,1683064880.067614,63135,31,1
1,ReadModifyWrite,1683064880.067668,60927,23,1
1,ReadModifyWrite,1683064880.067796,61017,18,1
1,ReadModifyWrite,1683064880.067811,88507,12,1
1,ReadModifyWrite,1683064880.067819,56853,15,1
1,ReadModifyWrite,1683064880.067945,74106,13,1
1,ReadModifyWrite,1683064880.067965,66986,24,1
1,ReadModifyWrite,1683064880.068054,73057,27,1
1,ReadModifyWrite,1683064880.068239,62278,26,1
1,ReadModifyWrite,1683064880.068248,59335,28,1
1,ReadModifyWrite,1683064880.068365,84136,25,1
1,ReadModifyWrite,1683064880.068372,73463,29,1
1,ReadModifyWrite,1683064880.068896,83171,17,1
1,ReadModifyWrite,1683064880.068909,53696,14,1
1,ReadModifyWrite,1683064880.068994,50972,16,1
1,ReadModifyWrite,1683064880.069060,60190,1,1
1,ReadModifyWrite,1683064880.069076,57619,6,1
1,ReadModifyWrite,1683064880.069088,58606,8,1
1,ReadModifyWrite,1683064880.069210,81156,0,1
1,ReadModifyWrite,1683064880.069220,59444,9,1
1,ReadModifyWrite,1683064880.069228,70349,30,1
1,ReadModifyWrite,1683064880.121808,49302,16,1
1,ReadModifyWrite,1683064880.122634,18776,14,1
1,ReadModifyWrite,1683064880.123440,22414,2,1
1,ReadModifyWrite,1683064880.124694,34157,15,1
1,ReadModifyWrite,1683064880.124966,21703,3,1
1,ReadModifyWrite,1683064880.125923,52435,22,1
1,ReadModifyWrite,1683064880.126711,44756,6,1
1,ReadModifyWrite,1683064880.127611,13608,28,1
1,ReadModifyWrite,1683064880.127712,31709,8,1
1,ReadModifyWrite,1683064880.128601,13919,21,1
1,ReadModifyWrite,1683064880.128613,1016036,23,1
1,ReadModifyWrite,1683064880.128686,32896,9,1
1,ReadModifyWrite,1683064880.128826,46661,18,1
1,ReadModifyWrite,1683064880.129272,18344,1,1
1,ReadModifyWrite,1683064880.130540,13738,26,1
1,ReadModifyWrite,1683064880.130769,13669,31,1
1,ReadModifyWrite,1683064880.131173,37542,5,1
1,ReadModifyWrite,1683064880.132049,12898,10,1
1,ReadModifyWrite,1683064880.132837,30747,20,1
1,ReadModifyWrite,1683064880.133376,1013584,19,1
1,ReadModifyWrite,1683064880.134970,13395,24,1
1,ReadModifyWrite,1683064880.135615,13250,11,1
1,ReadModifyWrite,1683064880.139603,15888,30,1
1,ReadModifyWrite,1683064880.141140,36301,27,1
1,ReadModifyWrite,1683064880.141252,54151,28,1
1,ReadModifyWrite,1683064880.141423,18517,14,1
1,ReadModifyWrite,1683064880.141851,45099,29,1
1,ReadModifyWrite,1683064880.142072,14253,13,1
1,ReadModifyWrite,1683064880.142535,15416,21,1
1,ReadModifyWrite,1683064880.143946,56583,4,1
1,ReadModifyWrite,1683064880.144292,27251,26,1
1,ReadModifyWrite,1683064880.144453,52266,31,1
1,ReadModifyWrite,1683064880.144962,24806,10,1
1,ReadModifyWrite,1683064880.145873,18308,2,1
1,ReadModifyWrite,1683064880.146687,23658,3,1
1,ReadModifyWrite,1683064880.147631,28910,1,1
1,ReadModifyWrite,1683064880.148403,16490,24,1
1,ReadModifyWrite,1683064880.148881,30239,11,1
1,ReadModifyWrite,1683064880.149385,15614,7,1
1,ReadModifyWrite,1683064880.150385,17415,0,1
1,ReadModifyWrite,1683064880.152087,14487,17,1
1,ReadModifyWrite,1683064880.152523,28658,25,1
1,ReadModifyWrite,1683064880.155510,36746,30,1
1,ReadModifyWrite,1683064880.156334,15649,12,1
1,ReadModifyWrite,1683064880.156337,16050,13,1
1,ReadModifyWrite,1683064880.157966,37032,21,1
1,ReadModifyWrite,1683064880.158867,14370,15,1
1,ReadModifyWrite,1683064880.159435,14066,8,1
1,ReadModifyWrite,1683064880.159955,51076,14,1
1,ReadModifyWrite,1683064880.161597,32021,9,1
1,ReadModifyWrite,1683064880.163598,22858,20,1
1,ReadModifyWrite,1683064880.164196,27498,2,1
1,ReadModifyWrite,1683064880.164908,25036,24,1
1,ReadModifyWrite,1683064880.165014,14765,7,1
1,ReadModifyWrite,1683064880.166588,27583,17,1
1,ReadModifyWrite,1683064880.167815,13141,0,1
1,ReadModifyWrite,1683064880.168730,34565,5,1
1,ReadModifyWrite,1683064880.169790,23205,10,1
1,ReadModifyWrite,1683064880.170360,12676,3,1
1,ReadModifyWrite,1683064880.171124,18034,16,1
1,ReadModifyWrite,1683064880.171481,21292,6,1
1,ReadModifyWrite,1683064880.171561,13396,26,1
1,ReadModifyWrite,1683064880.171998,43866,12,1
1,ReadModifyWrite,1683064880.172401,987453,13,1
1,ReadModifyWrite,1683064880.173252,13080,15,1
1,ReadModifyWrite,1683064880.173515,14697,8,1
1,ReadModifyWrite,1683064880.175501,13057,18,1
1,ReadModifyWrite,1683064880.176555,15891,1,1
1,ReadModifyWrite,1683064880.177455,20834,27,1
1,ReadModifyWrite,1683064880.178373,12552,22,1
1,ReadModifyWrite,1683064880.179136,39154,11,1
1,ReadModifyWrite,1683064880.179793,19724,7,1
1,ReadModifyWrite,1683064880.180970,24132,0,1
1,ReadModifyWrite,1683064880.181196,13044,25,1
1,ReadModifyWrite,1683064880.183051,19059,3,1
1,ReadModifyWrite,1683064880.184973,13785,26,1
1,ReadModifyWrite,1683064880.186352,13081,15,1
1,ReadModifyWrite,1683064880.186472,12920,20,1
1,ReadModifyWrite,1683064880.187004,36910,29,1
1,ReadModifyWrite,1683064880.188227,21612,8,1
1,ReadModifyWrite,1683064880.188572,13942,18,1
1,ReadModifyWrite,1683064880.189173,27486,16,1
1,ReadModifyWrite,1683064880.189959,19187,24,1
1,ReadModifyWrite,1683064880.190941,20609,22,1
1,ReadModifyWrite,1683064880.191709,14924,2,1
1,ReadModifyWrite,1683064880.192273,30914,30,1
