Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,396.800,80.738,10.406,11.795,16.732,26.851,39.413,937.154,1021.829,1069.731,0.012
5,741.600,50.536,10.122,11.604,19.060,29.067,51.785,107.320,987.798,1038.892,0.020
10,449.800,59.273,10.332,11.814,17.219,26.494,36.826,48.463,1007.945,1033.793,0.017
15,581.000,61.203,10.012,11.740,17.845,26.480,35.097,47.581,1008.483,1035.957,0.016
20,546.400,51.779,10.255,11.537,17.249,26.010,34.667,41.454,982.724,1044.940,0.019
25,429.000,74.617,10.232,11.602,15.668,25.908,37.000,895.936,1011.357,1055.497,0.013
30,497.200,67.179,10.147,11.489,16.667,25.545,35.365,874.442,1008.580,1060.131,0.015
35,346.600,88.317,10.155,11.473,17.689,26.560,40.484,933.697,1011.015,1947.344,0.011
40,445.400,73.625,10.100,11.422,16.797,26.390,38.309,871.415,1012.984,1051.795,0.014
45,407.600,83.951,10.151,11.399,15.301,25.089,35.171,970.193,1015.757,1041.783,0.012
50,494.600,60.009,10.075,11.405,15.533,24.738,33.608,43.507,994.570,1035.461,0.017
55,570.800,61.467,10.259,11.532,17.640,25.976,34.681,45.796,1009.728,1953.917,0.016
60,439.800,73.375,10.003,11.392,15.256,24.527,32.357,41.684,1951.739,2021.025,0.014
65,836.400,38.531,10.160,11.446,16.129,24.899,31.872,36.526,981.245,1043.448,0.026
70,743.600,44.460,10.073,11.551,17.210,25.206,32.557,38.495,973.923,1031.432,0.022
75,559.800,50.398,10.046,11.359,14.831,24.804,33.160,44.686,991.039,1031.458,0.020
80,645.000,47.133,10.127,11.480,16.453,24.824,32.250,37.808,1008.155,1052.815,0.021
85,489.400,66.641,10.163,11.392,15.624,24.750,33.346,850.674,1009.121,1039.099,0.015
90,751.000,42.555,10.129,11.370,16.190,24.251,30.924,36.628,962.661,1946.573,0.023
95,306.400,111.536,9.899,11.042,13.939,25.268,822.712,949.008,1006.752,1027.455,0.009
100,567.400,60.456,9.962,11.500,16.274,25.144,32.480,43.473,1008.178,1081.809,0.017
105,471.800,57.344,10.097,11.383,15.827,25.222,34.213,53.173,1007.724,1065.135,0.017
110,332.600,108.388,10.059,11.431,16.135,26.307,84.733,959.823,1027.119,1986.977,0.009
115,597.600,38.171,10.033,11.377,15.491,24.200,31.268,36.173,979.797,1046.306,0.026
