Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,169,169.000,5895,26536,50819,237362,95782,1048660,1072343,1085119,1085247
1,54,54.000,8063,28375,1028397,626873,1042099,1051758,1059757,1125288,1125288
2,90,90.000,5796,28265,53575,1028239,1015473,2996156,4018107,14151439,14151439
3,25,25.000,15609,1983084,3006597,5052826,8059013,13162455,13164038,13171507,13171507
4,4,4.000,9045357,10068851,10099263,9833983,10122463,10122463,10122463,10122463,10122463
5,8,8.000,1009466,1014601,11147497,7352193,12158856,12177691,12177691,12177691,12177691
6,13,13.000,10942,22754,2020589,5306069,10149343,11160784,12138335,12138335,12138335
7,2,2.000,9113806,9113806,10120716,9617261,10120716,10120716,10120716,10120716,10120716
8,4,4.000,5290,14714,8111193,4068877,8144311,8144311,8144311,8144311,8144311
9,2,2.000,6080703,6080703,8102653,7091678,8102653,8102653,8102653,8102653,8102653
10,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,1,1.000,3083796,3083796,3083796,3083796,3083796,3083796,3083796,3083796,3083796
12,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,1,1.000,2067071,2067071,2067071,2067071,2067071,2067071,2067071,2067071,2067071
14,11,11.000,9696,1011657,2019021,1935286,3043755,3044472,3073194,3073194,3073194
15,5,5.000,1026694,2015995,2022227,2218826,3011242,3017975,3017975,3017975,3017975
16,20,20.000,4959,1011525,1024352,1165653,1999563,2008375,2033449,2033449,2033449
17,33,33.000,5797,38356,1000748,773254,1018486,1038487,1047091,2032019,2032019
18,45,45.000,3711,59278,1017142,916542,1053871,2030132,2034704,2038893,2038893
19,28,28.000,11286,1011438,1029799,2071441,3041601,7086934,8082902,8094875,8094875
20,23,23.000,15679,4052084,7061870,6207910,8083404,11135811,11146896,11152277,11152277
21,5,5.000,1008784,4047963,5063508,5269890,6074946,10154251,10154251,10154251,10154251
22,4,4.000,5057983,5059358,6067762,5565009,6074935,6074935,6074935,6074935,6074935
23,3,3.000,4050009,4050009,4084761,5415101,8110535,8110535,8110535,8110535,8110535
24,1,1.000,5065096,5065096,5065096,5065096,5065096,5065096,5065096,5065096,5065096
25,2,2.000,6061956,6061956,6079055,6070505,6079055,6079055,6079055,6079055,6079055
26,9,9.000,5070,16269,1007967,2032973,5063675,5100183,5100183,5100183,5100183
27,19,19.000,12185,1008220,4014739,2728139,4072285,4089217,4115901,4115901,4115901
28,9,9.000,10149,1008495,3020727,2140083,3035328,3066958,3066958,3066958,3066958
29,4,4.000,11330,2018587,2037985,1542565,2102360,2102360,2102360,2102360,2102360
30,2,2.000,1038057,1038057,1043005,1040531,1043005,1043005,1043005,1043005,1043005
31,78,78.000,5688,24486,53140,457570,1061733,1089158,1103836,1121890,1121890
32,66,66.000,7117,29570,56132,907572,2017999,2065007,5065938,6067356,6067356
33,10,10.000,10285,2004671,6047373,4342786,6059658,7097843,7097843,7097843,7097843
34,10,10.000,11737,991574,3036453,2528060,4060095,5051531,5051531,5051531,5051531
35,14,14.000,4747,4050474,4056752,4057826,5074421,6083838,6096968,6096968,6096968
36,2,2.000,3040837,3040837,3053855,3047346,3053855,3053855,3053855,3053855,3053855
37,6,6.000,8784,1011894,2021564,1849753,3036268,3037389,3037389,3037389,3037389
38,6,6.000,1023599,1027418,1035543,1533186,2033140,3049850,3049850,3049850,3049850
39,31,31.000,4446,15244,2033437,1645856,2063604,3051642,3083853,4097565,4097565
40,8,8.000,9442,1009713,2021440,1914985,3094514,3098841,3098841,3098841,3098841
41,22,22.000,7154,1016382,2052679,1499365,2067729,2082003,2091937,3093817,3093817
42,20,20.000,10610,1042264,1090325,1607683,2091167,3101069,4103263,4103263,4103263
43,24,24.000,6558,1034977,2031217,1784417,2074139,3038520,3056014,3072719,3072719
44,16,16.000,12443,1002525,1022866,1265973,2000644,2043733,3007951,3007951,3007951
