Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,22.400,2235.180,5.341,1005.787,2060.382,3579.498,5036.642,5597.516,5616.795,6599.133,0.000
5,11.600,3176.865,4.980,1081.831,3036.622,5066.997,6109.849,7061.272,8090.819,8090.819,0.000
10,6.800,3093.782,9.360,2985.374,3013.631,4008.234,5004.379,5010.302,5013.635,5013.635,0.000
15,30.800,940.873,4.067,22.852,1006.973,1975.280,2019.510,2024.550,2032.259,2978.853,0.001
20,15.200,3000.592,4.126,1012.624,2022.911,4962.840,7965.934,8975.963,9158.947,9158.947,0.000
25,10.200,2212.561,4.522,37.633,1040.429,4017.951,5018.365,6026.355,8061.489,8061.489,0.000
30,14.000,1390.349,4.295,1010.427,1117.968,2028.621,2136.231,2145.786,3137.520,3137.520,0.001
35,30.400,1320.837,4.770,998.993,1015.310,2023.870,3015.364,3033.705,5033.586,5039.151,0.001
40,17.400,1664.809,4.449,1007.734,1042.425,2057.515,3037.735,4035.106,5043.796,5043.796,0.001
45,14.000,2423.995,4.514,1028.930,2031.728,3035.650,4030.867,4044.232,5976.109,5976.109,0.000
50,13.400,2526.762,4.422,1016.806,2053.606,4065.196,5063.549,5071.906,6081.109,6081.109,0.000
55,17.200,1980.967,4.490,1003.104,2004.700,3018.461,4027.466,4037.228,5028.462,5028.462,0.001
60,18.400,1579.512,4.771,1002.034,1058.383,2024.008,3025.119,3041.157,4047.678,4047.678,0.001
65,20.800,1508.844,4.779,1003.412,1019.732,2023.793,3015.621,3034.503,5058.674,6036.934,0.001
70,14.400,2134.556,5.351,1006.353,2052.941,3064.103,4051.244,4062.284,5061.735,5061.735,0.000
75,25.800,1427.599,4.395,960.446,1030.853,2017.170,3034.815,3065.835,5053.432,5078.226,0.001
80,12.000,2817.671,4.532,1016.641,3017.670,4029.312,5029.179,6023.616,6036.087,6036.087,0.000
85,16.400,1364.339,4.548,28.225,1019.017,2058.184,2999.057,3004.958,3039.368,3039.368,0.001
90,29.800,1635.729,4.680,1002.034,1018.596,2020.058,4015.339,5016.267,7929.964,7936.591,0.001
95,8.000,3137.522,4.633,2004.858,2939.013,4923.320,5922.202,6918.709,6927.817,6927.817,0.000
100,18.600,1423.628,4.298,23.738,1039.057,2025.745,3027.446,4017.001,4029.703,4029.703,0.001
105,22.600,1438.620,4.842,987.156,1990.719,2018.059,2990.588,3014.118,4006.977,4028.224,0.001
110,22.600,1779.005,4.025,32.052,1019.419,1048.256,5972.985,5981.223,6981.081,6982.655,0.001
115,2.600,1473.817,9.635,1003.094,2007.244,2016.576,2017.448,4018.410,4018.410,4018.410,0.001
