Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1964,1964.000,10549,11989,12925,16357,17291,25777,30978,53610,82803
1,2274,2274.000,10440,11433,11916,14061,13459,21366,25946,32357,39475
2,2354,2354.000,10332,11195,11578,13575,12558,20808,24104,32222,41479
3,879,879.000,9816,10723,11153,41588,11797,20263,28135,934291,1010371
4,1849,1849.000,10077,10966,11315,17616,11952,19777,22961,34783,1020919
5,1627,1627.000,9848,10935,11412,16498,12364,20521,24504,235136,467631
6,2251,2251.000,10409,11187,11556,14226,12709,21495,25423,58808,87130
7,2373,2373.000,10369,11100,11517,13467,12312,20480,24125,31835,37877
8,2314,2314.000,10321,11174,11603,13798,12961,21286,24758,32409,49249
9,2378,2378.000,10300,11105,11508,13469,12492,20388,24152,32083,41189
10,2343,2343.000,10237,11166,11595,13658,12754,21174,24568,32650,41084
11,2378,2378.000,10324,11183,11563,13450,12379,20297,23855,31522,42792
12,2245,2245.000,10341,11057,11445,15944,12359,20453,24284,31458,1017143
13,1676,1676.000,9999,10880,11336,16821,12084,20158,24741,210215,469376
14,2308,2308.000,10198,11213,11634,13847,12991,21667,24754,32401,43804
15,2211,2211.000,10303,11146,11566,14449,12740,22414,28306,48698,63292
16,2006,2006.000,10270,11236,11870,21308,13931,21862,26392,45470,1021723
17,1196,1196.000,9988,10927,11484,17752,13098,21018,26396,203955,543885
18,2290,2290.000,10269,11259,11766,13962,13212,21550,24756,34251,50523
19,2330,2330.000,10389,11212,11656,13700,12832,20875,24225,32878,53165
20,2379,2379.000,10380,11173,11591,13476,12643,20261,23446,31153,38669
21,2354,2354.000,10188,11192,11617,13676,12659,20999,24198,31642,44013
22,2315,2315.000,10224,11135,11578,13725,12891,21375,24485,31824,41008
23,2387,2387.000,10294,11119,11509,13406,12290,20368,23828,30397,40495
24,2279,2279.000,10315,11082,11475,14005,12444,21387,26158,54835,74731
25,2379,2379.000,10323,11116,11511,13501,12621,20693,24172,31475,42086
26,2382,2382.000,10240,11126,11512,13392,12481,20473,23515,30339,41711
27,2359,2359.000,10243,11136,11546,13611,12560,20724,24959,32407,41036
28,2347,2347.000,10163,11096,11500,14431,12612,20958,24161,33654,1011402
29,700,700.000,10008,10534,10923,42969,11515,19918,28399,835905,977831
30,2317,2317.000,10409,11248,11673,13771,12852,21126,24908,31762,40740
31,2359,2359.000,10395,11199,11587,14373,12361,20511,25063,32619,1010535
32,935,935.000,9938,10790,11219,32270,11901,20754,26779,677372,979250
33,2394,2394.000,10348,11128,11494,13313,12210,20038,23939,30991,43725
34,2276,2276.000,10314,11119,11514,14070,12461,21241,25886,56661,69666
35,2389,2389.000,10264,11145,11537,13410,12318,20630,24234,31620,39704
36,1559,1559.000,9929,10856,11338,26924,12115,20054,23808,711174,1013718
37,1590,1590.000,10325,11092,11468,13755,12791,21449,24573,34068,53454
38,1045,1045.000,10012,10882,11370,38605,12209,20741,26110,938965,1029524
39,1774,1774.000,10354,11118,11581,13421,12422,20199,23568,31489,38257
40,2367,2367.000,10374,11142,11576,13504,12520,20659,24120,31844,41749
41,1763,1763.000,9996,10835,11266,24574,12116,20155,24430,674007,1019485
42,1479,1479.000,10061,11082,11537,13951,12598,20572,24375,34058,380026
43,2390,2390.000,10246,11131,11523,14571,12263,20029,23607,31930,1010705
44,881,881.000,9925,10523,10934,33160,11515,18744,23037,771113,898097
45,2134,2134.000,10197,11311,11896,14971,15484,24191,30408,40766,72001
46,2229,2229.000,10483,11394,11865,14378,12856,21607,26301,53711,85959
47,2349,2349.000,10391,11207,11621,13592,12592,20542,24254,31526,41378
48,2331,2331.000,10117,11157,11597,13695,12788,21408,24892,31820,38393
49,2260,2260.000,10235,11087,11517,19599,12461,21080,24704,35073,1018061
50,878,878.000,9901,10398,11026,22443,11943,19656,23830,595754,813452
51,2380,2380.000,10245,11159,11560,13447,12412,20403,23640,30361,42700
52,2362,2362.000,10264,11138,11547,13548,12481,20887,24396,34208,42560
53,2368,2368.000,10359,11155,11560,13510,12420,20334,23745,31518,40047
54,1143,1143.000,9917,10632,11102,33663,11922,19992,26089,895337,1017058
55,1870,1870.000,10288,11166,11583,13640,12629,20939,24598,32057,38913
56,2260,2260.000,10352,11302,11704,14191,12903,21774,26377,53420,84943
57,2332,2332.000,10409,11231,11659,13674,12633,20566,24593,32953,42555
58,2354,2354.000,10345,11138,11545,13609,12630,20738,24193,32894,44423
59,2381,2381.000,10268,11174,11570,13421,12375,20223,23424,32378,44867
60,2368,2368.000,10265,11178,11592,13510,12442,20338,24032,31649,43278
61,2346,2346.000,10367,11248,11684,13620,12621,20542,23800,30939,39480
62,2344,2344.000,10333,11239,11662,13676,12831,20562,24092,31228,49136
63,2365,2365.000,10349,11205,11642,13513,12513,20687,24190,30430,37891
64,2185,2185.000,10330,11265,11728,14641,13690,22832,27044,57518,74676
65,2390,2390.000,10278,11134,11537,13380,12369,20216,23959,31343,40185
66,2361,2361.000,10246,11163,11553,13544,12519,20855,24141,32236,43019
67,2358,2358.000,10292,11188,11632,13568,12690,20375,23761,31282,37100
68,2281,2281.000,10172,11132,11576,14091,13148,22501,26467,35302,56174
69,2291,2291.000,10380,11298,11765,13893,12842,21093,24737,35602,62390
70,2291,2291.000,10482,11378,11830,13992,13265,21372,24865,32316,53681
71,2274,2274.000,10492,11390,11922,14077,13558,21643,24805,33390,55807
72,2391,2391.000,10266,11190,11571,13343,12267,19938,23410,31207,44744
73,2301,2301.000,10353,11078,11452,13920,12247,21727,25284,48533,72786
74,2325,2325.000,10301,11307,11748,13753,12809,20939,24768,33327,41907
75,2198,2198.000,10501,11620,12320,14560,14335,21629,26349,35616,53290
76,1832,1832.000,10555,11647,12854,17866,19224,28307,45200,57914,147501
77,577,577.000,15964,40321,52886,55638,66382,77708,103933,135269,158534
78,692,692.000,12408,35763,38009,46079,50037,73496,106695,133510,153397
79,1476,1476.000,10602,11790,12925,21204,25942,45343,49901,79909,119726
80,1872,1872.000,10658,11865,13027,17696,19818,27793,33849,78711,140111
81,707,707.000,10418,11335,20115,43495,76365,80529,125279,155746,207309
82,1589,1589.000,9985,10649,11048,24028,11695,19148,24530,711090,1038957
83,1637,1637.000,9908,10835,11213,20271,12018,20110,23757,424996,1019677
84,1604,1604.000,9821,10924,11294,15359,12036,20032,23872,36078,409605
85,2403,2403.000,10234,11026,11369,13291,12130,19851,24093,33061,42490
86,2292,2292.000,10293,11121,11494,13989,12266,20964,24546,57152,79178
87,2347,2347.000,10348,11129,11541,13656,12500,21296,24758,32242,46536
88,2389,2389.000,10376,11091,11470,13391,12305,19964,23211,30960,47400
89,2165,2165.000,10126,11040,11457,20729,12174,19973,23486,587344,1021152
90,1180,1180.000,10063,10994,11379,16134,11998,19433,22933,37722,578831
91,2339,2339.000,10216,11206,11667,13694,12921,20784,24537,33149,45280
92,2294,2294.000,10443,11337,11794,13937,13174,21182,25324,32537,49313
93,2004,2004.000,10140,11290,11885,22669,14424,22181,27472,594313,1014364
94,887,887.000,9961,10962,11635,37830,13691,23417,28859,761734,1016281
95,1092,1092.000,9997,11050,11462,15579,12223,20102,23745,36598,541342
96,2266,2266.000,10334,11197,11610,14137,12476,21294,26248,53551,74144
97,707,707.000,9938,10606,11047,46897,11650,20367,29005,875416,1008056
98,2119,2119.000,10183,11022,11388,19724,12285,20131,25277,35180,1011045
99,944,944.000,9945,10825,11261,22093,12164,20368,24382,549476,689961
100,2374,2374.000,10300,11125,11521,13524,12410,20772,23939,32712,46778
101,2248,2248.000,10389,11382,11935,14229,13762,22258,26348,34849,48118
102,1885,1885.000,10019,11132,11705,24662,13241,20983,24860,732031,1057769
103,278,278.000,11636,50113,53469,63732,73008,79760,124925,415382,545618
104,2188,2188.000,10406,11089,11503,14515,12894,21743,25835,79128,107253
105,2373,2373.000,10427,11165,11565,13518,12407,20360,23781,31774,44636
106,2357,2357.000,10450,11242,11665,13561,12479,20403,24119,31058,41298
107,2258,2258.000,10271,11186,11613,14194,12519,21481,25520,53106,81038
108,2388,2388.000,10305,11146,11508,13374,12328,20166,24043,32306,41515
109,2309,2309.000,10350,11195,11651,13821,12860,21144,25058,33101,45535
110,2203,2203.000,10443,11371,11878,14571,13593,23008,27079,37295,59118
111,2302,2302.000,10412,11359,11808,13881,13172,21015,24965,32795,46290
112,2364,2364.000,10355,11184,11572,13513,12414,20657,24663,32798,40751
113,2361,2361.000,10202,11124,11505,13546,12390,21022,24559,31791,40659
114,2386,2386.000,10223,11182,11598,13375,12472,20020,23504,29922,41166
115,2374,2374.000,10266,11121,11548,13521,12422,20456,24228,32648,40975
116,2220,2220.000,10329,11158,11598,14391,13086,21777,27181,53848,71383
117,2232,2232.000,10245,11383,11858,14387,13932,22676,26670,34884,54080
118,2308,2308.000,10355,11268,11735,13815,12914,20957,24250,32944,48379
119,981,981.000,9891,10617,11081,12923,11859,20197,23886,30666,41335
