Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,75.000,568.163,5.438,32.336,41.997,1017.663,2038.082,3056.213,4070.329,5083.483,0.002
5,26.200,958.501,5.480,18.106,26.463,1019.334,3058.374,3059.482,3065.614,3080.347,0.001
10,30.400,1083.332,3.749,24.557,1036.405,2027.616,2048.642,2061.064,3062.516,3064.555,0.001
15,26.400,1536.127,5.188,20.902,1021.249,2043.865,3084.112,4096.901,4098.090,4098.201,0.001
20,27.800,1129.033,5.223,16.732,1994.920,2028.950,2043.486,2052.245,2054.892,2055.451,0.001
25,27.000,1039.847,5.239,26.184,1030.406,1043.993,2039.055,4056.507,4058.330,4059.195,0.001
30,16.200,2903.971,3.913,1028.670,3045.851,4082.367,5090.030,5097.533,5101.854,5101.854,0.000
35,12.400,1667.492,11.336,1009.678,2027.673,3039.736,3046.227,3046.535,3085.115,3085.115,0.001
40,22.800,1355.406,4.993,15.892,1025.157,2037.599,4063.493,4087.621,5097.411,5099.141,0.001
45,32.600,1126.508,3.280,20.380,1023.113,2058.883,3063.578,3063.991,3073.863,3075.689,0.001
50,26.400,1009.794,5.020,19.251,1009.864,2009.829,3041.048,3043.336,3051.738,3052.487,0.001
55,30.400,1005.436,3.137,17.591,34.515,2061.196,3033.614,3052.298,4059.683,4060.201,0.001
60,11.200,4375.543,3.372,2045.414,6057.841,7059.874,7072.083,7073.123,7073.786,7073.786,0.000
65,13.800,1212.314,3.357,35.555,1019.518,3038.440,3094.168,3094.597,3095.640,3095.640,0.001
70,15.600,2581.819,8.031,1024.303,3046.270,4059.296,5064.094,5065.656,5074.989,5074.989,0.000
75,9.200,2455.578,10.276,1031.196,2043.028,4059.907,4060.482,4060.816,4066.735,4066.735,0.000
80,18.600,1304.547,5.358,25.708,1050.981,2049.528,3050.777,3051.445,3052.502,3052.502,0.001
85,41.200,1066.322,3.619,15.844,1008.161,2046.710,3059.359,4067.962,4070.324,4071.265,0.001
90,23.200,2738.553,4.772,1019.779,1031.010,7026.652,8060.265,8068.610,9069.722,9070.006,0.000
95,0.600,5048.962,3046.869,3046.869,5046.366,7053.651,7053.651,7053.651,7053.651,7053.651,0.000
100,14.800,2436.889,6.582,31.416,2038.124,4068.742,5071.932,5072.311,5072.787,5072.787,0.000
105,14.400,1587.507,4.934,1023.628,1035.022,3027.574,3045.853,3046.346,3047.336,3047.336,0.001
110,10.000,2805.143,4.388,21.432,4051.215,4068.699,5068.836,5069.284,5073.133,5073.133,0.000
115,24.800,623.913,2.786,24.394,1022.121,1038.154,1044.448,1048.799,2052.621,2053.828,0.002
