Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,15.200,2776.267,6.367,1080.932,2454.249,4090.949,5158.748,6110.489,7198.760,7198.760,0.000
5,13.600,2251.263,4.655,1049.571,2062.808,3058.050,4065.610,4074.302,5109.600,5109.600,0.000
10,19.600,1966.601,4.186,988.912,2009.288,2996.154,4982.973,6013.612,7047.770,7047.770,0.001
15,9.000,2943.732,4.921,2033.948,3040.501,4055.232,5060.922,6025.106,6063.298,6063.298,0.000
20,14.200,1775.234,5.194,1014.400,1053.292,3020.661,3046.358,3998.950,5068.189,5068.189,0.001
25,39.800,923.614,5.363,22.862,48.270,1974.318,2949.632,2996.989,4985.130,5045.380,0.001
30,18.000,1919.273,4.399,1005.616,2016.837,2075.105,4046.208,4058.831,8047.012,8047.012,0.001
35,9.600,3923.847,26.535,1027.845,4028.578,6033.499,7038.001,7045.275,7050.865,7050.865,0.000
40,19.000,1189.998,4.169,50.511,1028.971,2020.462,2067.203,3016.374,4069.349,4069.349,0.001
45,28.200,1490.823,4.737,42.800,1035.555,2068.795,4033.757,4046.042,4071.432,4079.412,0.001
50,12.800,2597.048,5.110,32.155,2059.046,4001.358,5043.638,9992.904,11022.716,11022.716,0.000
55,8.200,5694.746,10.464,3043.316,6066.092,8035.839,9075.853,9078.168,11047.697,11047.697,0.000
60,5.800,2884.638,5.443,2023.279,3002.820,4003.197,4053.069,5046.912,6057.427,6057.427,0.000
65,11.800,2140.447,4.867,1022.810,2037.980,3027.384,4040.285,4056.659,6047.750,6047.750,0.000
70,16.200,1873.872,4.659,1002.057,2009.171,3021.939,4032.774,4050.675,5072.617,5072.617,0.001
75,21.200,1435.610,4.862,1006.854,1043.284,2033.430,3020.085,3036.362,5066.348,6088.610,0.001
80,15.000,2441.181,4.114,998.996,2042.119,4046.962,5073.169,5110.753,7125.260,7125.260,0.000
85,17.200,1417.407,4.334,1006.783,1033.975,2018.866,2068.830,3047.554,4028.127,4028.127,0.001
90,15.200,2786.359,4.736,1018.966,2000.580,5064.735,6052.907,6096.787,7065.724,7065.724,0.000
95,15.600,2330.837,5.340,51.138,2022.191,4023.160,6049.519,7068.605,9086.960,9086.960,0.000
100,8.800,3039.361,5.439,2026.833,3048.651,4053.406,5077.578,6075.669,7090.831,7090.831,0.000
105,14.000,2463.066,7.403,2014.295,3020.260,3053.670,4054.082,4058.552,5061.105,5061.105,0.000
110,12.200,1881.350,9.107,1001.704,2000.097,2999.352,4063.709,5061.809,5078.571,5078.571,0.001
115,2.800,1587.178,4.815,42.678,1001.963,3006.007,4030.842,4048.590,4048.590,4048.590,0.001
