Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1667.000,19.710,10.171,11.477,12.021,13.447,21.685,26.872,71.660,1016.792,0.051
5,1757.000,17.737,10.176,11.330,11.774,12.663,21.024,25.220,36.901,1019.068,0.056
10,2286.000,13.997,10.587,11.461,11.876,12.812,21.239,25.092,33.593,71.857,0.071
15,2279.000,14.034,10.517,11.500,11.949,13.056,21.475,25.204,33.366,49.104,0.071
20,2296.000,13.931,10.565,11.447,11.867,12.771,21.048,24.899,33.603,77.704,0.072
25,2275.600,14.053,10.519,11.432,11.846,12.767,21.521,25.174,34.071,99.125,0.071
30,2267.600,14.113,10.501,11.482,11.919,13.006,21.444,24.986,34.328,66.778,0.071
35,1806.800,17.907,10.182,11.303,11.764,12.629,21.524,25.470,50.592,1028.160,0.056
40,2275.400,13.894,10.574,11.457,11.892,12.897,20.982,24.733,32.208,46.761,0.072
45,2274.400,14.073,10.486,11.452,11.885,12.843,21.347,25.271,33.777,84.571,0.071
50,2312.800,13.827,10.441,11.418,11.839,12.824,21.063,24.458,32.192,44.655,0.072
55,2271.600,14.082,10.355,11.470,11.898,12.904,21.309,25.153,34.280,91.807,0.071
60,1949.800,16.416,10.248,11.474,11.958,12.960,21.273,25.139,35.391,1008.602,0.061
65,2276.200,14.050,10.515,11.455,11.888,12.958,21.428,25.116,33.836,81.233,0.071
70,2234.400,14.335,10.579,11.573,12.085,13.590,22.225,25.692,34.098,60.614,0.070
75,1315.600,24.422,10.224,11.717,12.552,21.512,44.650,58.033,113.559,1084.661,0.041
80,1894.200,16.799,10.273,11.401,11.853,12.895,22.110,27.870,78.627,1017.312,0.060
85,1757.200,18.206,10.008,11.284,11.713,12.619,21.022,25.656,54.520,1019.343,0.055
90,1946.800,16.438,10.275,11.511,11.943,13.006,21.403,25.571,35.802,1020.516,0.061
95,1990.400,16.072,10.171,11.415,11.858,12.902,21.378,25.194,34.792,1025.561,0.062
100,1533.200,20.875,10.361,11.576,12.188,17.466,27.498,51.213,101.999,1011.553,0.048
105,2268.400,14.098,10.556,11.477,11.902,12.963,21.180,25.178,34.344,84.099,0.071
110,1652.400,19.362,10.170,11.353,11.794,12.669,20.604,24.796,35.865,1026.555,0.052
115,2042.600,15.619,10.111,11.433,11.866,12.695,20.881,24.662,34.666,1018.302,0.064
