Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,109,109.000,7266,33150,61728,334516,1034016,1039678,1043276,1049237,1049790
1,57,57.000,15054,30929,1034680,1445856,3057341,3060464,3061624,3061892,3061892
2,7,7.000,2035753,2038471,2039816,2039409,2040735,2041858,2041858,2041858,2041858
3,2,2.000,1021727,1021727,1031584,1026655,1031584,1031584,1031584,1031584,1031584
4,35,35.000,4977,2042545,2044058,1840096,2045425,2046743,2046871,2046927,2046927
5,1,1.000,1039596,1039596,1039596,1039596,1039596,1039596,1039596,1039596,1039596
6,55,55.000,4311,12281,3023827,1749410,3027878,3032106,3046818,3048950,3048950
7,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,1,1.000,1039669,1039669,1039669,1039669,1039669,1039669,1039669,1039669,1039669
9,48,48.000,5204,32761,1040272,709685,1058050,1059155,1060773,1062290,1062290
10,66,66.000,3585,20294,32398,666273,1043831,2043811,2044700,2046486,2046486
11,23,23.000,4334,1018604,1023207,1198233,1036465,2040981,2041638,2041638,2041638
12,29,29.000,4399,1025463,1027212,956737,1028835,1031862,1032505,1032657,1032657
13,45,45.000,4806,13162,2035790,1544022,2043486,3052270,3061572,3063484,3063484
14,1,1.000,2043121,2043121,2043121,2043121,2043121,2043121,2043121,2043121,2043121
15,39,39.000,4045,16218,2030164,1491695,3043040,3047608,3048083,3048634,3048634
16,11,11.000,1010835,2037293,2043225,1855347,2043408,2044027,2045042,2045042,2045042
17,14,14.000,9438,1034765,1035480,961790,1036115,1036552,1036732,1036732,1036732
18,35,35.000,4196,1020238,1020845,936061,1026546,1028920,1030443,1030758,1030758
19,35,35.000,4538,1022216,1023058,938056,1030261,1030711,1031139,1031829,1031829
20,43,43.000,4506,26673,1032048,982024,1034961,1036074,4051668,4054066,4054066
21,34,34.000,2390,3036740,3043311,2506876,3044577,3044920,3045653,3045813,3045813
22,1,1.000,2038620,2038620,2038620,2038620,2038620,2038620,2038620,2038620,2038620
23,1,1.000,1031758,1031758,1031758,1031758,1031758,1031758,1031758,1031758,1031758
24,46,46.000,4656,30352,2043392,1406917,2045400,2048028,2052036,2052478,2052478
25,1,1.000,1031173,1031173,1031173,1031173,1031173,1031173,1031173,1031173,1031173
26,78,78.000,4159,28838,30344,432935,1015433,1021970,1022314,1023931,1023931
27,59,59.000,2545,14377,1028917,978525,2044127,2052273,2053460,2053730,2053730
28,9,9.000,8270,1032677,1033328,919433,1033838,1035753,1035753,1035753,1035753
29,35,35.000,4378,3048138,3051572,3189105,4047196,4066222,4066394,4066871,4066871
30,1,1.000,3061278,3061278,3061278,3061278,3061278,3061278,3061278,3061278,3061278
31,1,1.000,2054355,2054355,2054355,2054355,2054355,2054355,2054355,2054355,2054355
32,13,13.000,1007950,3051716,3052287,2737966,3053008,3053230,3053333,3053333,3053333
33,22,22.000,24363,2025737,2044377,1898199,2045726,2046431,2046758,2047844,2047844
34,1,1.000,1019981,1019981,1019981,1019981,1019981,1019981,1019981,1019981,1019981
35,38,38.000,3849,12364,2029654,1232599,2030539,2031369,2031759,3038674,3038674
36,9,9.000,3036782,3037580,3037733,3037904,3038269,3039290,3039290,3039290,3039290
37,1,1.000,2031324,2031324,2031324,2031324,2031324,2031324,2031324,2031324,2031324
38,22,22.000,4520,1018738,1019549,972565,1019799,1020715,1020741,1020760,1020760
39,105,105.000,3626,11643,12845,900265,3043351,3056565,3057157,3057761,3057844
40,1,1.000,2037674,2037674,2037674,2037674,2037674,2037674,2037674,2037674,2037674
41,2,2.000,1022591,1022591,1030810,1026700,1030810,1030810,1030810,1030810,1030810
42,57,57.000,3757,18293,1032053,779055,1034255,2033152,2033340,2033814,2033814
43,22,22.000,3926,2024943,2026706,1844752,2033074,2033142,2033320,2034223,2034223
44,13,13.000,1008983,2041344,2041885,1884432,2042067,2042199,2042392,2042392,2042392
45,22,22.000,11828,1045669,1046758,1728731,3063295,3063589,3063687,3064068,3064068
46,25,25.000,8331,2046533,2047666,1924639,2048538,2048921,2049039,2059184,2059184
47,1,1.000,1034048,1034048,1034048,1034048,1034048,1034048,1034048,1034048,1034048
48,69,69.000,4147,23299,24505,495211,1047940,1053876,1054381,1055475,1055475
49,35,35.000,8575,1046401,3029745,2211042,3045116,3046251,3046389,3046700,3046700
50,10,10.000,1008631,2019647,2020689,1925224,2032437,2044736,2044736,2044736,2044736
51,1,1.000,1039089,1039089,1039089,1039089,1039089,1039089,1039089,1039089,1039089
52,59,59.000,2453,23638,1012709,564976,1026351,1037644,1038761,1039885,1039885
53,92,92.000,3929,12851,19774,1046595,3039083,3045467,3050195,3052339,3052339
54,1,1.000,2032255,2032255,2032255,2032255,2032255,2032255,2032255,2032255,2032255
55,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
56,139,139.000,2498,17462,18881,514800,32008,2048712,4064673,4065612,4065617
57,15,15.000,7967,3041654,3046517,2709315,3047111,3053139,3060136,3060136,3060136
58,10,10.000,1009479,2026883,2028204,1925798,2028476,2029060,2029060,2029060,2029060
59,1,1.000,1021265,1021265,1021265,1021265,1021265,1021265,1021265,1021265,1021265
60,58,58.000,3734,12088,2027440,1106591,2028623,2029062,2029322,2029836,2029836
61,1,1.000,1022274,1022274,1022274,1022274,1022274,1022274,1022274,1022274,1022274
62,68,68.000,3849,18045,19516,2959952,7058628,7065787,7066718,7067139,7067139
63,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
64,1,1.000,5060945,5060945,5060945,5060945,5060945,5060945,5060945,5060945,5060945
65,1,1.000,4054694,4054694,4054694,4054694,4054694,4054694,4054694,4054694,4054694
66,1,1.000,3048803,3048803,3048803,3048803,3048803,3048803,3048803,3048803,3048803
67,1,1.000,2042794,2042794,2042794,2042794,2042794,2042794,2042794,2042794,2042794
68,11,11.000,1009278,1026191,1026617,1024589,1026985,1027800,1036083,1036083,1036083
69,61,61.000,3732,24284,3013398,1578518,3053498,3065700,3066206,3067053,3067053
70,1,1.000,2046357,2046357,2046357,2046357,2046357,2046357,2046357,2046357,2046357
71,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
72,99,99.000,1967,23833,25247,767994,2037505,2061876,3062172,4060506,4060506
73,3,3.000,3034621,3034621,3040969,3042958,3053285,3053285,3053285,3053285,3053285
74,22,22.000,2260,1013286,2023996,1656922,2025940,2026091,2026524,2029239,2029239
75,10,10.000,1008750,1019521,3036063,2429285,3036429,3036980,3036980,3036980,3036980
76,26,26.000,4112,2034926,2035485,1917235,2035719,2036073,2036180,2037187,2037187
77,1,1.000,1027263,1027263,1027263,1027263,1027263,1027263,1027263,1027263,1027263
78,34,34.000,4017,1025808,2026904,1613180,2027665,2028451,2028678,2028871,2028871
79,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
80,10,10.000,1009514,1019369,1020101,1119828,1020963,2027875,2027875,2027875,2027875
81,33,33.000,3906,1019773,2024078,1507879,2028294,2029348,2029693,2029813,2029813
82,14,14.000,1009874,1013830,1020313,1017959,1020956,1021090,1023343,1023343,1023343
83,79,79.000,2098,11751,19797,422868,1025229,1033168,1033453,1034068,1034068
84,47,47.000,3827,11798,1016915,785482,1029121,1029813,2040464,2041046,2041046
85,37,37.000,1974,1008058,1022014,776174,1026001,1032645,1036836,1039974,1039974
86,114,114.000,2133,13335,19963,573248,2031148,2035663,2036667,2045104,2045248
87,1,1.000,1029463,1029463,1029463,1029463,1029463,1029463,1029463,1029463,1029463
88,110,110.000,3579,11456,12759,682669,1019215,3040902,4054684,4056339,4057967
89,15,15.000,1015045,3042929,3049032,2843761,3049584,3049768,3050909,3050909,3050909
90,1,1.000,2037719,2037719,2037719,2037719,2037719,2037719,2037719,2037719,2037719
91,11,11.000,1009351,1019986,1022477,1300560,2045642,2046145,2046267,2046267,2046267
92,35,35.000,2149,1026429,1036997,1265460,2056538,2057154,2057417,2057455,2057455
93,19,19.000,9162,9065803,9072018,7539509,9077854,9078693,9079947,9079947,9079947
94,16,16.000,1009106,8063621,8064419,7118186,8065170,8065282,8065665,8065665,8065665
95,1,1.000,7059026,7059026,7059026,7059026,7059026,7059026,7059026,7059026,7059026
96,1,1.000,6051673,6051673,6051673,6051673,6051673,6051673,6051673,6051673,6051673
97,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
98,1,1.000,4046367,4046367,4046367,4046367,4046367,4046367,4046367,4046367,4046367
99,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
100,1,1.000,2041366,2041366,2041366,2041366,2041366,2041366,2041366,2041366,2041366
101,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
102,35,35.000,4493,1017193,1018132,937160,1031837,1032981,1033197,1034013,1034013
103,36,36.000,3530,1018752,1023821,912667,1032585,1033793,1035298,1035387,1035387
