Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,378.200,84.782,10.395,12.129,18.542,29.707,61.017,875.399,1008.822,1163.323,0.012
5,496.600,64.451,10.014,11.864,18.009,27.395,39.272,654.808,982.816,1051.959,0.016
10,461.000,70.081,10.159,11.851,17.826,27.074,40.763,784.364,1007.338,1074.197,0.014
15,540.200,63.016,10.073,11.695,17.709,26.890,38.396,543.807,988.557,1045.915,0.016
20,474.800,72.885,10.133,11.684,16.849,25.845,39.010,792.348,1001.623,2015.571,0.014
25,407.600,73.764,10.154,11.737,17.973,26.895,40.837,724.373,985.559,1030.731,0.014
30,417.000,69.435,9.976,11.662,17.906,27.835,40.196,767.147,899.610,981.215,0.014
35,510.600,62.684,10.112,11.861,17.834,27.134,40.387,579.828,954.702,1045.410,0.016
40,571.000,57.805,10.025,11.848,17.979,27.371,40.352,85.222,933.253,1038.482,0.017
45,406.600,76.194,10.009,11.777,17.949,27.182,42.686,774.253,1008.140,2020.258,0.013
50,532.200,61.331,10.175,12.459,20.827,31.709,57.269,184.808,954.910,1034.367,0.016
55,562.800,59.749,10.103,11.836,18.359,28.289,44.209,155.025,928.891,1037.917,0.017
60,350.000,99.516,10.059,11.514,16.678,26.750,48.182,863.886,1176.491,2056.996,0.010
65,267.200,106.767,9.899,11.652,18.392,29.068,141.029,913.250,1027.802,1856.216,0.009
70,375.200,83.135,10.067,11.668,17.767,27.071,46.016,836.845,1021.744,1994.345,0.012
75,420.800,74.949,10.172,11.665,17.454,27.504,43.938,762.735,1003.644,1075.015,0.013
80,724.400,43.657,9.983,11.938,18.408,27.354,39.048,59.880,888.557,1030.933,0.023
85,508.800,63.096,10.062,11.861,18.000,27.442,38.536,661.093,987.944,1039.004,0.016
90,466.000,68.739,10.119,11.672,17.804,27.221,43.309,799.377,960.883,1023.660,0.015
95,447.800,81.625,10.327,11.741,18.164,27.842,42.583,897.582,1014.552,1612.239,0.012
100,360.400,86.655,10.059,11.527,17.130,26.665,76.057,822.216,994.053,1990.375,0.012
105,329.600,90.607,10.141,11.528,17.363,27.082,44.574,844.789,992.240,1767.312,0.011
110,798.000,44.107,10.057,11.992,18.210,27.009,36.465,44.854,886.655,1020.499,0.023
115,420.000,60.442,10.041,11.700,17.622,26.330,38.151,85.202,999.159,1037.859,0.017
