Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,710.000,48.419,3.992,15.999,21.436,32.943,53.633,79.290,939.821,1079.435,0.021
5,352.000,88.518,4.249,15.598,22.530,36.120,67.183,849.552,1001.793,1055.657,0.011
10,442.400,75.018,4.253,17.126,24.463,38.214,63.012,761.185,1015.325,1095.237,0.013
15,576.600,53.593,3.963,19.016,26.303,38.677,55.641,75.097,897.541,1084.259,0.019
20,594.800,51.238,4.095,16.907,24.895,37.688,57.079,77.280,881.781,1025.497,0.020
25,637.800,53.061,4.018,18.338,26.244,37.989,56.295,72.855,888.678,1049.797,0.019
30,586.400,57.143,4.093,15.127,23.080,34.383,55.378,95.568,966.289,1908.176,0.018
35,522.200,54.829,4.256,18.116,26.357,39.426,57.830,75.655,913.749,1052.977,0.018
40,472.000,68.164,4.219,18.910,26.928,41.752,64.890,107.058,996.222,1076.984,0.015
45,519.200,62.732,4.166,17.711,25.632,39.656,59.850,86.266,982.114,1063.665,0.016
50,549.400,56.825,4.085,18.096,25.914,38.786,58.772,79.727,907.121,1045.351,0.018
55,537.600,61.880,4.134,17.469,25.600,38.969,60.009,102.205,950.551,1053.838,0.016
60,382.600,80.363,4.360,18.011,25.543,39.365,67.320,776.719,934.775,1029.969,0.012
65,377.400,85.088,4.059,15.550,23.811,36.847,66.392,799.934,997.202,1980.079,0.012
70,703.000,45.597,4.476,18.949,26.834,39.551,57.514,76.219,823.472,1040.572,0.022
75,539.200,64.985,4.496,17.042,24.831,37.661,58.752,115.269,911.151,1030.699,0.015
80,358.000,89.075,4.434,17.154,24.871,37.303,66.564,844.844,995.647,1040.490,0.011
85,487.400,62.444,4.202,16.996,23.975,36.894,55.895,103.877,945.233,1042.548,0.016
90,427.400,72.893,4.127,16.901,24.570,37.896,63.860,735.174,939.343,1031.239,0.014
95,521.800,60.023,3.950,17.693,25.027,37.189,60.582,92.695,920.006,1033.763,0.017
100,513.000,70.486,4.261,17.706,26.091,39.069,63.975,144.142,963.563,1095.710,0.014
105,414.800,68.641,4.370,18.250,26.232,39.161,60.936,97.905,968.708,1057.734,0.015
110,452.800,69.268,4.102,17.788,26.179,40.132,62.024,146.921,1003.990,1281.577,0.014
115,696.400,44.956,4.150,18.516,26.192,38.695,56.280,72.937,846.829,1041.814,0.022
