Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1489.600,21.518,10.668,14.138,21.528,26.358,30.799,34.010,48.052,112.399,0.046
5,1497.600,21.368,10.264,13.954,21.100,26.114,30.379,33.933,51.230,1032.713,0.047
10,1541.600,20.747,10.684,13.890,21.139,25.833,29.817,32.622,40.906,60.719,0.048
15,1520.400,21.040,10.244,13.895,21.122,25.974,30.020,33.039,47.328,85.365,0.048
20,1140.600,28.092,10.895,14.554,23.147,29.218,41.106,74.821,163.615,371.920,0.036
25,1363.000,23.461,10.564,13.882,21.445,27.583,36.088,45.976,81.769,168.512,0.043
30,1192.200,26.823,10.009,14.158,22.319,27.793,37.809,53.786,179.093,300.651,0.037
35,1284.600,25.353,10.820,14.146,22.557,28.375,35.613,48.350,129.500,309.273,0.039
40,1434.800,21.904,10.124,13.655,20.610,25.682,30.124,34.718,85.369,217.082,0.046
45,1558.600,20.525,10.653,13.676,20.859,25.669,29.455,32.557,41.032,58.204,0.049
50,1522.200,21.005,10.348,13.687,20.930,25.788,30.207,34.048,52.811,95.963,0.048
55,1540.000,20.788,10.339,13.798,20.913,25.735,30.002,33.490,44.061,76.864,0.048
60,1553.600,20.587,10.251,13.692,20.478,25.366,29.150,32.614,46.140,83.981,0.049
65,1567.000,20.402,10.732,13.764,20.958,25.338,28.696,31.587,40.007,62.927,0.049
70,1534.000,20.872,10.269,13.713,20.740,25.688,29.972,33.427,47.264,103.903,0.048
75,1530.400,20.914,10.750,13.829,21.333,26.031,30.002,32.843,42.941,86.405,0.048
80,1547.600,20.659,10.493,13.774,21.035,25.632,29.511,32.399,40.787,93.690,0.048
85,1531.000,20.899,10.351,13.899,21.293,25.717,29.482,32.626,45.305,88.459,0.048
90,1529.200,20.926,10.655,13.879,21.487,26.019,29.796,32.689,41.608,96.572,0.048
95,1517.600,21.072,10.493,13.934,21.367,26.029,29.992,33.043,46.402,84.201,0.047
100,1546.800,20.685,10.629,13.913,20.895,25.624,29.568,32.698,41.382,78.655,0.048
105,1516.600,21.111,10.292,13.968,21.094,26.037,30.022,33.317,50.464,114.574,0.047
110,1673.400,19.111,10.721,13.257,18.485,23.528,27.457,30.375,37.827,59.765,0.052
115,1888.800,16.869,10.498,12.471,17.368,20.043,22.300,24.277,32.744,59.759,0.059
