Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,600.600,67.917,10.477,12.688,22.630,73.563,153.029,188.067,399.441,1766.914,0.015
5,1196.200,19.420,10.032,12.474,14.099,22.387,31.059,37.562,69.339,1456.562,0.051
10,1868.600,17.120,10.521,12.542,13.909,21.756,25.731,28.762,38.840,64.264,0.058
15,1851.400,17.282,10.336,12.496,13.914,21.488,25.887,29.431,44.359,91.183,0.058
20,1857.400,17.216,10.647,12.553,14.018,21.728,25.919,29.212,39.011,75.331,0.058
25,1859.200,17.212,10.069,12.447,13.871,21.454,25.778,29.636,42.071,102.011,0.058
30,1859.000,17.210,10.549,12.525,13.925,21.793,25.873,29.154,40.542,69.119,0.058
35,1865.000,17.157,10.469,12.421,13.827,21.505,25.662,29.450,42.990,82.316,0.058
40,1880.200,17.013,10.497,12.533,13.880,21.527,25.510,28.516,38.128,60.122,0.059
45,1865.400,17.153,10.388,12.403,13.809,21.410,25.890,29.545,43.326,103.875,0.058
50,1874.200,17.065,10.605,12.515,13.999,21.547,25.729,28.492,38.391,63.182,0.059
55,1858.000,17.212,10.520,12.479,13.810,21.416,25.750,29.706,42.476,88.988,0.058
60,1863.600,17.174,10.554,12.556,13.895,21.522,25.898,29.354,41.174,75.842,0.058
65,1850.800,17.288,10.163,12.479,13.907,21.630,26.131,29.766,41.506,111.048,0.058
70,1827.400,17.505,10.441,12.534,14.074,21.952,26.467,30.588,42.539,89.506,0.057
75,1665.600,19.218,10.237,12.649,14.430,22.825,29.123,36.149,48.839,1022.650,0.052
80,1657.200,19.291,10.612,12.533,14.188,22.450,27.471,33.510,46.641,1032.747,0.052
85,1866.400,17.144,10.418,12.439,13.800,21.498,26.038,29.926,41.599,80.230,0.058
90,1781.000,18.101,10.417,12.381,13.820,21.371,25.848,29.911,45.506,1021.058,0.055
95,1866.800,17.014,10.392,12.403,13.808,21.233,25.767,29.494,40.302,93.267,0.059
100,1835.800,17.590,10.456,12.407,13.766,21.525,25.806,29.126,41.372,1034.417,0.057
105,1841.400,17.219,10.409,12.424,13.879,21.630,26.262,29.767,40.329,94.152,0.058
110,1953.000,16.367,10.348,12.167,13.398,19.823,24.337,27.603,38.593,75.133,0.061
115,2159.200,14.769,10.222,11.646,12.409,17.604,20.323,23.694,32.579,52.820,0.068
