Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,102,102.000,6151,32808,64907,367698,1070661,1075979,1076482,1077770,1078735
1,131,131.000,4728,15540,18376,261459,32310,1013635,1014097,1014895,1014918
2,106,106.000,4075,14640,15363,321814,1030119,1031875,1039574,1040771,1042194
3,1077,1077.000,3326,12927,17195,49376,24541,31767,68958,1021563,1031483
4,53,53.000,6105,18049,22377,174206,25305,1040998,1041725,1042746,1042746
5,25,25.000,5013,1030531,1031335,993705,1042727,1043551,1043782,1044134,1044134
6,296,296.000,2683,13197,20270,235980,25004,2026063,2033045,2050061,2050664
7,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,134,134.000,3473,12706,20266,260390,30732,1033017,1033640,1034406,1034442
9,331,331.000,3739,12858,19888,303796,27147,42768,3027509,3036373,3039185
10,1,1.000,2020234,2020234,2020234,2020234,2020234,2020234,2020234,2020234,2020234
11,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,90,90.000,2013,11189,11898,370140,1020048,1026392,1026669,1028375,1028375
13,424,424.000,3683,11919,13764,91729,20364,26427,1030073,1038220,1039245
14,441,441.000,3571,12054,14748,17109,20913,27612,29656,36597,37443
15,122,122.000,3726,11706,12312,278664,1019778,1028198,1029240,1029812,1029925
16,289,289.000,2413,12292,18635,129224,24659,1031508,1033291,1033794,1033904
17,68,68.000,3987,12138,18633,488609,1026261,1026687,1026834,1027637,1027637
18,567,567.000,2052,12029,18883,76242,26877,42394,1023285,1024906,1025661
19,92,92.000,3801,12297,20305,372524,1039071,1043899,1044371,1046021,1046021
20,589,589.000,1837,11788,13101,16506,20207,28759,32005,43140,43862
21,84,84.000,3646,11292,12354,398784,1027955,1032806,1033281,1033779,1033779
22,216,216.000,2676,11332,11790,304948,12332,2027980,2028248,2028773,2028877
23,1,1.000,1021525,1021525,1021525,1021525,1021525,1021525,1021525,1021525,1021525
24,34,34.000,4023,1027526,1028269,969840,1034728,1035062,1035224,1035528,1035528
25,245,245.000,3284,11564,12244,144525,19671,1017454,1021554,1024353,1027959
26,183,183.000,2111,11484,12902,190738,27357,1021673,1023055,1040756,1040941
27,216,216.000,3501,11471,19655,165922,29742,1019669,1020388,1020699,1021286
28,103,103.000,3577,11410,11818,321367,1010382,1010787,1011056,1011582,1011619
29,372,372.000,2283,11121,11790,99000,22248,39438,988126,989056,989653
30,218,218.000,1966,11503,12261,164320,28063,1028078,1032665,1042263,1042827
31,55,55.000,2812,21104,1018710,602189,1025613,1026881,1027159,1027632,1027632
32,89,89.000,3825,19896,29559,739312,2016344,2016803,2017179,2017453,2017453
33,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
34,59,59.000,3532,19337,2022555,1091865,2034596,2036155,2037127,2037701,2037701
35,1,1.000,1031151,1031151,1031151,1031151,1031151,1031151,1031151,1031151,1031151
36,151,151.000,3664,11323,11796,17151,19854,35776,36173,36876,36886
37,294,294.000,3387,11338,11951,124430,19643,1025481,1029424,1038632,1039751
38,37,37.000,3809,2043473,2044890,1749093,2059802,2060121,2060236,2060491,2060491
39,1,1.000,1037611,1037611,1037611,1037611,1037611,1037611,1037611,1037611,1037611
40,1096,1096.000,3366,11469,19230,48031,24917,33578,46628,1036101,1039299
41,161,161.000,1858,11577,12210,217406,19033,1048575,1049122,1049649,1049925
42,77,77.000,2276,22404,23612,26581,31507,45223,46506,49014,49014
43,47,47.000,3636,32141,1017634,707618,1023676,1041684,1042972,1043254,1043254
44,374,374.000,1820,11726,15967,268138,21056,28057,3024877,3043221,3044388
45,1,1.000,2037126,2037126,2037126,2037126,2037126,2037126,2037126,2037126,2037126
46,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
47,294,294.000,1794,18425,20041,128890,26662,1017263,1019688,1021234,1021855
48,207,207.000,2012,18239,22901,179410,34648,1044232,1052314,1054368,1055353
49,827,827.000,3338,11202,11983,20690,19608,28051,35571,37163,1015647
50,29,29.000,4021,1015513,1015673,980939,1016150,1016474,1017207,1017349,1017349
51,534,534.000,3383,11605,18021,135885,24677,28729,1999634,2005234,2006302
52,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
53,68,68.000,1877,11560,26334,949523,2038625,2039191,2039428,2040138,2040138
54,1,1.000,1019131,1019131,1019131,1019131,1019131,1019131,1019131,1019131,1019131
55,35,35.000,3636,1005345,1014861,926243,1015386,1015949,1016086,1017294,1017294
56,568,568.000,3335,11189,11758,147407,12792,28492,1020416,3085652,3086742
57,10,10.000,2050857,2072159,2075721,2072645,2076541,2077156,2077156,2077156,2077156
58,1,1.000,1036246,1036246,1036246,1036246,1036246,1036246,1036246,1036246,1036246
59,94,94.000,3681,11745,12435,351019,1005683,1006436,1007019,1007478,1007478
60,473,473.000,3534,11191,11935,82255,18575,36370,1008402,1017397,1018314
61,93,93.000,3594,11274,12459,358800,1018146,1019917,1020561,1021666,1021666
62,43,43.000,3846,14564,1005977,751958,1007263,1008252,1009488,1009520,1009520
63,114,114.000,3360,11403,17643,19143,28021,32914,33268,33970,34434
