Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,293.800,114.554,3.326,13.417,18.522,27.427,70.243,1028.273,1075.675,1078.735,0.009
5,157.200,292.801,2.683,12.938,20.175,27.341,1033.640,2034.510,3035.186,3039.185,0.003
10,191.200,85.535,2.013,11.865,13.472,20.729,29.202,1025.804,1037.591,2020.234,0.012
15,227.600,159.991,2.052,12.055,18.787,27.547,1024.966,1032.801,1041.809,1046.021,0.006
20,184.800,154.854,1.837,11.584,12.378,20.576,1023.428,1033.370,2028.290,2028.877,0.006
25,223.800,157.356,2.111,11.368,12.235,23.358,1010.689,1020.477,1024.353,1040.941,0.006
30,84.200,473.067,1.966,11.802,21.150,1020.743,2016.763,2027.145,2036.215,2037.701,0.002
35,96.800,218.921,3.387,11.405,12.009,20.707,1028.983,2044.161,2059.970,2060.491,0.005
40,351.000,127.199,1.820,11.582,19.165,25.309,42.189,1032.651,3024.893,3044.388,0.008
45,265.800,70.865,1.794,11.428,18.709,25.510,35.102,1014.244,1047.965,2037.126,0.014
50,126.400,263.602,1.877,11.658,19.263,26.347,1019.131,2006.302,2039.191,2040.138,0.004
55,141.600,241.391,3.335,11.294,11.886,19.404,1007.038,1021.111,3085.588,3086.742,0.004
60,156.200,179.215,3.360,11.347,16.901,23.410,1016.050,1019.386,1027.000,1029.448,0.006
65,119.600,339.289,2.260,11.506,18.203,33.172,1029.130,2036.047,3038.109,3038.811,0.003
70,291.400,83.953,2.210,11.355,17.305,23.879,36.766,1020.614,1041.088,1044.232,0.012
75,66.000,502.801,3.499,11.183,17.982,1019.213,2013.080,2055.215,2060.646,2062.857,0.002
80,203.000,206.736,2.390,11.475,18.530,27.682,1021.705,1062.515,3024.498,3026.317,0.005
85,61.600,433.161,3.333,11.445,17.933,983.261,2027.706,2041.230,2042.566,2043.115,0.002
90,114.400,264.279,1.932,12.428,20.213,39.531,1028.987,1046.650,2026.768,2027.735,0.004
95,123.200,262.148,2.074,11.707,19.395,34.301,1027.238,1029.706,2035.159,2040.319,0.004
100,238.200,126.663,1.711,12.026,19.433,26.327,1019.533,1029.076,1050.989,1074.815,0.008
105,151.600,185.659,1.885,11.422,18.510,29.781,1013.229,1026.847,1029.912,1031.523,0.005
110,228.400,158.303,1.942,11.508,16.169,20.809,1022.252,1038.428,1052.460,2049.144,0.006
115,161.400,137.223,2.131,11.615,18.787,27.262,1016.371,1029.168,1035.428,1036.909,0.007
