Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,522.400,63.095,13.927,28.569,54.301,85.392,115.433,135.522,179.953,2077.665,0.016
5,145.800,214.816,12.431,22.847,43.518,105.996,938.307,1100.430,2041.997,3039.786,0.005
10,418.800,76.381,13.371,27.014,52.126,84.693,122.341,146.650,1113.858,1270.422,0.013
15,219.000,193.724,6.822,28.454,53.119,93.882,153.263,1079.820,3111.800,4145.875,0.005
20,74.600,314.615,12.350,15.385,37.159,438.580,1058.355,1112.695,2090.097,3172.800,0.003
25,36.400,975.924,13.258,34.253,994.131,2022.506,2101.344,3126.746,4133.024,5161.835,0.001
30,34.000,1116.672,13.578,35.374,1027.706,2063.307,2133.496,3080.218,4090.942,4110.184,0.001
35,108.200,236.870,13.927,28.293,59.081,118.624,1036.446,1076.598,2086.966,3141.286,0.004
40,35.800,873.353,14.050,55.143,1028.356,1196.127,2069.706,2103.970,3070.948,3078.973,0.001
45,32.400,950.608,11.592,54.539,1018.415,1100.428,2105.350,2155.173,3057.807,3092.671,0.001
50,39.600,961.712,6.691,48.733,1020.085,1117.322,3042.472,3108.062,4094.360,4117.478,0.001
55,35.400,818.428,14.303,49.844,998.394,1113.669,2101.142,3014.500,3049.592,3057.100,0.001
60,29.200,1085.589,13.207,47.681,1030.655,2048.635,3078.530,3154.688,4072.215,4172.424,0.001
65,19.600,1487.975,13.652,1023.597,1082.528,2093.393,3028.729,3073.094,4085.962,4085.962,0.001
70,40.600,970.281,9.976,47.012,1016.195,1983.879,2097.959,2130.963,3100.276,4053.711,0.001
75,33.000,649.692,13.742,41.428,103.861,1049.398,2057.708,2085.437,2146.722,3020.189,0.002
80,246.400,161.432,13.770,26.397,51.138,95.483,164.008,1017.560,2103.211,4134.983,0.006
85,24.000,1302.822,12.856,915.742,1056.393,2004.364,2975.702,3065.523,3995.966,4129.452,0.001
90,27.600,1064.345,13.515,47.605,1022.728,2000.490,3041.633,3169.019,4062.322,4087.242,0.001
95,31.600,1220.222,9.683,33.574,124.663,2094.801,3981.648,4067.035,5105.490,6101.630,0.001
100,21.600,1251.970,13.141,1014.089,1051.015,2008.992,3006.443,3095.238,3132.991,3143.347,0.001
105,113.200,299.391,10.766,21.772,47.789,103.885,1076.026,1926.208,3072.144,3191.900,0.003
110,21.000,1526.385,6.777,73.881,1101.782,2117.857,3098.127,3990.217,5009.483,5181.538,0.001
115,9.200,1208.556,13.131,59.198,1029.107,2013.158,2967.042,2981.485,3042.322,3042.322,0.001
