Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,35,35.000,52185,1054419,1060620,1427424,1642941,2644201,3610701,4581025,4581025
1,28,28.000,429355,1014722,1595958,1955666,2984146,4017939,4023841,4610394,4610394
2,20,20.000,6634,1582295,2552676,2441603,3599870,4018264,5056828,5056828,5056828
3,8,8.000,1003794,1020336,2058133,2520809,4978818,5024452,5024452,5024452,5024452
4,16,16.000,1043281,2056721,2065775,3440831,6052429,8102367,8106409,8106409,8106409
5,13,13.000,1004352,1016068,2024128,2400965,2962970,6046353,6050375,6050375,6050375
6,20,20.000,5560,3017788,5025642,4443436,8073361,8095819,8096832,8096832,8096832
7,3,3.000,5026542,5026542,7064280,6390314,7080122,7080122,7080122,7080122,7080122
8,10,10.000,12136,1001647,2005634,2354204,4090357,6136415,6136415,6136415,6136415
9,6,6.000,2036588,5034952,5049657,4720369,5082437,6080435,6080435,6080435,6080435
10,5,5.000,2027367,4032789,4047729,3644171,4052268,4060704,4060704,4060704,4060704
11,8,8.000,4846,3044861,3052017,2674722,3077774,3082341,3082341,3082341,3082341
12,6,6.000,2037970,2048775,2054553,2056954,2073487,2073737,2073737,2073737,2073737
13,1,1.000,2046837,2046837,2046837,2046837,2046837,2046837,2046837,2046837,2046837
14,41,41.000,5955,44983,1044312,1667252,2039799,4076033,4084788,5072090,5072090
15,13,13.000,1010595,1016586,2004394,2343532,3065740,4074861,6094106,6094106,6094106
16,23,23.000,5178,9814,2059228,2826777,5079135,5080928,6056100,6061402,6061402
17,5,5.000,1039539,4066184,4074008,3668315,4079330,5082517,5082517,5082517,5082517
18,14,14.000,4839,1004061,3029182,2520106,4028771,4038809,5030898,5030898,5030898
19,10,10.000,4905,2031773,3022428,2130098,3034769,3049613,3049613,3049613,3049613
20,1,1.000,2021226,2021226,2021226,2021226,2021226,2021226,2021226,2021226,2021226
21,19,19.000,6121,1002462,1022227,1859023,2024412,5030482,5034555,5034555,5034555
22,29,29.000,5704,1008292,1015976,1909825,3017860,4026736,5017200,6017021,6017021
23,17,17.000,17063,2996731,4019660,3606630,5019770,5056678,6045072,6045072,6045072
24,5,5.000,1001589,1994221,2009919,2214114,2013370,4051471,4051471,4051471,4051471
25,5,5.000,1001843,1001981,2008316,2213724,3014442,4042040,4042040,4042040,4042040
26,18,18.000,5144,1010915,2028576,1689022,2035109,2036797,2039758,2039758,2039758
27,8,8.000,1001662,1019174,1035030,1026077,1037680,1043491,1043491,1043491,1043491
28,49,49.000,6291,29543,1010291,1435924,3030499,3083527,4007230,5013798,5013798
29,12,12.000,1063534,2046148,2082121,2703510,4023286,4023834,4026835,4026835,4026835
30,3,3.000,64907,64907,1065959,1378931,3005928,3005928,3005928,3005928,3005928
31,9,9.000,4876,1037710,1048332,1572299,2956933,3004914,3004914,3004914,3004914
32,22,22.000,12714,1947059,1966766,2338763,2953208,3955827,4961724,6076196,6076196
33,19,19.000,4497,1002182,2013207,2444912,5060174,5069227,5075725,5075725,5075725
34,14,14.000,1002164,1022256,3009704,3027898,5059329,5060840,5062898,5062898,5062898
35,5,5.000,1008401,2000915,4053622,3039319,4066552,4067105,4067105,4067105,4067105
36,12,12.000,5505,1003144,1016010,1774240,3058525,3063965,4061751,4061751,4061751
37,11,11.000,2040830,2049519,2058550,2425452,3073055,3083412,4083969,4083969,4083969
38,2,2.000,2072322,2072322,2081424,2076873,2081424,2081424,2081424,2081424,2081424
39,31,31.000,6227,1012071,1024963,1374722,2018841,2029294,3039502,4032508,4032508
40,18,18.000,1001663,1009129,1023811,1577258,1030371,4026603,5067112,5067112,5067112
41,29,29.000,5982,1012536,2005229,2058991,2029197,5042392,7060086,7085543,7085543
42,14,14.000,4928,3005147,4039861,3964164,6052057,6062520,7072519,7072519,7072519
43,12,12.000,1001923,2003363,5047968,3789734,6065078,6077934,6081205,6081205,6081205
44,6,6.000,2016844,5034596,5054996,4545360,5055451,5056021,5056021,5056021,5056021
45,8,8.000,1001862,3009054,4041886,3036239,4054383,4070385,4070385,4070385,4070385
46,8,8.000,1012288,3033273,3042167,3289722,4058407,6056662,6056662,6056662,6056662
47,1,1.000,5050499,5050499,5050499,5050499,5050499,5050499,5050499,5050499,5050499
48,9,9.000,1006283,1007215,1035758,2361447,4046713,5055358,5055358,5055358,5055358
49,28,28.000,9355,3013406,3048296,3065672,4031844,4048264,5044596,5064105,5064105
50,3,3.000,3012344,3012344,3027424,3023812,3031668,3031668,3031668,3031668,3031668
51,3,3.000,2023165,2023165,2036197,2698663,4036629,4036629,4036629,4036629,4036629
52,12,12.000,8499,1004225,2034210,1771571,3036158,3039935,3044580,3044580,3044580
53,28,28.000,5445,1026544,2030598,1845051,3017862,3036399,3039932,4024015,4024015
54,8,8.000,2005430,2007691,2021506,2384975,3011647,3012952,3012952,3012952,3012952
55,17,17.000,4802,1012765,2002219,1661369,2011964,2034533,4061203,4061203,4061203
56,19,19.000,19182,1011634,3047097,2722109,3058388,6048039,6063131,6063131,6063131
57,22,22.000,14199,2026789,2050062,2585756,4036357,5064950,5065667,5067726,5067726
58,2,2.000,3033425,3033425,3034788,3034106,3034788,3034788,3034788,3034788,3034788
59,16,16.000,1001912,1970726,3015501,2327137,3025278,3037144,3042963,3042963,3042963
60,9,9.000,1001570,1001939,1012995,1680104,2021132,3034100,3034100,3034100,3034100
61,13,13.000,1001661,1009953,1022518,1173867,1040037,2019946,2028566,2028566,2028566
62,46,46.000,4298,21486,1008320,670856,1023108,1035218,1062652,2050215,2050215
63,41,41.000,7602,41126,1030815,1580657,2987210,3991813,4011324,4028701,4028701
64,15,15.000,4161,1984490,2063498,2207204,2997994,3016524,3029602,3029602,3029602
65,10,10.000,6406,1001857,1998314,1505242,2013196,2027626,2027626,2027626,2027626
66,15,15.000,38118,969672,1005141,1140127,1024126,2047108,3030640,3030640,3030640
67,41,41.000,5401,31187,2033398,1543292,2038005,2044204,2051392,5048518,5048518
68,2,2.000,1003135,1003135,1022149,1012642,1022149,1022149,1022149,1022149,1022149
