Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1332.600,24.757,10.536,14.430,22.276,27.934,35.087,41.986,70.711,1020.135,0.040
5,1323.800,23.481,10.245,14.230,22.766,28.187,35.135,42.218,63.084,305.016,0.043
10,1320.400,24.210,10.237,14.110,22.308,27.938,34.179,40.103,55.649,1014.564,0.041
15,1371.200,23.877,10.364,14.127,22.637,27.854,34.425,41.899,60.097,1021.379,0.042
20,1358.200,23.022,10.466,14.201,22.293,27.651,34.428,40.537,54.864,382.398,0.043
25,1392.200,22.980,10.654,14.222,23.074,28.117,34.338,40.400,54.136,108.145,0.044
30,1368.800,23.363,10.630,14.402,23.016,28.279,34.858,41.073,58.149,116.619,0.043
35,1375.400,23.262,10.841,14.232,23.211,28.676,35.201,40.485,53.134,82.311,0.043
40,1350.600,23.694,10.393,14.097,22.368,28.039,34.901,41.956,63.191,611.821,0.042
45,1379.800,23.203,10.780,14.191,22.929,28.368,35.373,41.581,56.286,98.694,0.043
50,1298.200,24.611,10.164,14.059,22.389,28.089,35.081,41.304,61.068,782.580,0.041
55,1377.600,23.246,10.333,14.401,23.205,28.033,34.110,40.639,59.568,111.548,0.043
60,1375.800,23.260,10.461,14.237,23.126,28.287,34.835,40.660,58.466,101.614,0.043
65,1385.600,23.091,10.575,14.080,22.745,28.048,34.779,41.781,59.219,329.220,0.043
70,1323.200,24.177,10.398,14.222,22.484,27.889,34.560,41.368,59.665,1024.448,0.041
75,1362.400,23.476,10.276,14.176,23.072,28.653,35.639,42.522,56.646,88.215,0.043
80,1374.400,23.294,10.550,14.063,22.616,27.718,34.233,41.506,59.645,961.279,0.043
85,1323.400,24.158,10.152,13.949,22.297,28.108,35.009,41.859,60.489,1043.959,0.041
90,1355.800,23.616,10.672,14.336,23.150,28.661,35.839,42.842,61.536,114.523,0.042
95,1366.000,23.405,10.420,14.400,23.250,28.658,35.350,41.550,55.612,84.955,0.043
100,1366.200,23.439,10.815,14.245,23.147,28.647,35.452,41.959,58.723,102.911,0.043
105,1264.800,25.437,10.243,13.830,21.580,27.122,33.635,40.433,64.782,1025.850,0.039
110,1327.000,24.112,10.284,13.391,20.953,27.143,35.364,43.323,94.485,986.881,0.041
115,1390.200,22.755,10.014,12.568,18.735,21.817,30.909,50.464,143.061,363.065,0.044
