Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,ReadModifyWrite,1683596956.852392,105202,31,1
1,ReadModifyWrite,1683596956.853724,127175,30,1
1,ReadModifyWrite,1683596956.853844,111912,26,1
1,ReadModifyWrite,1683596956.853865,111766,25,1
1,ReadModifyWrite,1683596956.853866,113311,28,1
1,ReadModifyWrite,1683596956.853928,115194,29,1
1,ReadModifyWrite,1683596956.853979,103478,24,1
1,ReadModifyWrite,1683596956.854183,127576,27,1
1,ReadModifyWrite,1683596956.854281,111350,23,1
1,ReadModifyWrite,1683596956.854303,109179,21,1
1,ReadModifyWrite,1683596956.854368,103978,22,1
1,ReadModifyWrite,1683596956.854431,106288,20,1
1,ReadModifyWrite,1683596956.854448,109735,19,1
1,ReadModifyWrite,1683596956.855625,89962,17,1
1,ReadModifyWrite,1683596956.855816,109614,18,1
1,ReadModifyWrite,1683596956.855953,130328,15,1
1,ReadModifyWrite,1683596956.856049,109253,16,1
1,ReadModifyWrite,1683596956.856102,134000,14,1
1,ReadModifyWrite,1683596956.856181,121908,11,1
1,ReadModifyWrite,1683596956.856320,110190,13,1
1,ReadModifyWrite,1683596956.856980,145933,12,1
1,ReadModifyWrite,1683596956.857299,72720,10,1
1,ReadModifyWrite,1683596956.857317,95158,9,1
1,ReadModifyWrite,1683596956.857337,79632,8,1
1,ReadModifyWrite,1683596956.857568,101243,0,1
1,ReadModifyWrite,1683596956.857583,93157,7,1
1,ReadModifyWrite,1683596956.857741,85521,4,1
1,ReadModifyWrite,1683596956.857908,81103,5,1
1,ReadModifyWrite,1683596956.857927,107238,6,1
1,ReadModifyWrite,1683596956.858203,118157,3,1
1,ReadModifyWrite,1683596956.858212,112874,2,1
1,ReadModifyWrite,1683596956.858445,55560,1,1
1,ReadModifyWrite,1683596956.914081,77468,1,1
1,ReadModifyWrite,1683596956.930043,108713,10,1
1,ReadModifyWrite,1683596956.937033,44573,8,1
1,ReadModifyWrite,1683596956.939045,102273,5,1
1,ReadModifyWrite,1683596956.943281,69181,4,1
1,ReadModifyWrite,1683596956.945618,86586,17,1
1,ReadModifyWrite,1683596956.950756,61636,7,1
1,ReadModifyWrite,1683596956.952491,53037,9,1
1,ReadModifyWrite,1683596956.957482,69209,24,1
1,ReadModifyWrite,1683596956.957606,46579,31,1
1,ReadModifyWrite,1683596956.958358,77288,22,1
1,ReadModifyWrite,1683596956.958832,41910,0,1
1,ReadModifyWrite,1683596956.960755,77075,20,1
1,ReadModifyWrite,1683596956.963507,76699,21,1
1,ReadModifyWrite,1683596956.964209,68142,19,1
1,ReadModifyWrite,1683596956.965181,81936,6,1
1,ReadModifyWrite,1683596956.965322,82289,16,1
1,ReadModifyWrite,1683596956.965451,100364,18,1
1,ReadModifyWrite,1683596956.965647,74714,25,1
1,ReadModifyWrite,1683596956.965647,49525,23,1
1,ReadModifyWrite,1683596956.965778,100423,26,1
1,ReadModifyWrite,1683596956.966524,74571,13,1
1,ReadModifyWrite,1683596956.967189,64885,28,1
1,ReadModifyWrite,1683596956.969137,61430,29,1
1,ReadModifyWrite,1683596956.971108,63375,2,1
