Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1666,1666.000,4982,16718,17691,19280,20837,25398,27864,68527,79711
1,2019,2019.000,4926,15713,16376,15812,17113,18218,19306,21163,29465
2,2064,2064.000,4656,15611,16167,15492,16747,17403,17975,20064,27780
3,2058,2058.000,4729,15526,16108,15546,16713,17548,18640,24533,26960
4,2125,2125.000,4721,14998,15569,15036,16160,17080,18209,23884,28091
5,2149,2149.000,4730,14979,15546,14910,16235,16965,17484,19634,22382
6,2182,2182.000,4664,14842,15367,14614,15838,16346,16732,18436,25412
7,2130,2130.000,4579,14999,15521,15075,16027,16586,17669,30308,33953
8,2131,2131.000,4601,15068,15620,15752,16190,17146,18674,76201,77931
9,2016,2016.000,4621,15064,15645,15058,16190,16748,17223,18763,76994
10,2142,2142.000,4486,15157,15682,14925,16212,16783,17425,18529,20108
11,2129,2129.000,4474,15174,15707,15033,16283,17005,17945,20319,26471
12,2190,2190.000,4591,14895,15343,14571,15805,16262,16563,17603,19802
13,2076,2076.000,4652,15104,15703,15433,16301,17220,19269,32409,39567
14,2198,2198.000,4560,14756,15314,14565,15881,16465,16896,17649,19203
15,2137,2137.000,4608,15080,15617,14938,16187,16854,17580,19854,22444
16,2163,2163.000,4704,15027,15498,14789,15996,16505,16934,18768,25224
17,2185,2185.000,4579,14892,15354,14631,15858,16367,16786,19004,20582
18,2180,2180.000,4685,14902,15387,14687,15915,16597,17239,18147,23581
19,2163,2163.000,4706,15027,15551,14808,16077,16664,17199,18517,19831
20,2198,2198.000,4582,14740,15240,14522,15748,16247,16738,17942,27316
21,2156,2156.000,4684,14943,15455,14840,16039,16667,17444,20691,26845
22,2194,2194.000,4699,14790,15248,14528,15719,16209,16662,18619,20185
23,2184,2184.000,4573,14902,15388,14704,15929,16556,17102,18638,21984
24,2164,2164.000,4676,14906,15436,14746,16062,16740,17218,18408,19544
25,2139,2139.000,4558,14875,15432,14950,16073,17114,18726,22155,24858
26,2193,2193.000,4682,14799,15308,14601,15848,16390,16816,18760,24070
27,2187,2187.000,4614,14789,15300,14609,15830,16342,16964,19760,22959
28,2205,2205.000,4591,14729,15197,14503,15714,16337,16716,17770,22968
29,2152,2152.000,4661,15041,15625,14937,16212,16798,17407,20110,23364
30,2089,2089.000,4723,14892,15453,15252,16119,17413,20876,27960,29859
31,2129,2129.000,4787,15153,15638,15068,16142,16796,17393,25015,27113
32,2146,2146.000,4620,15078,15601,14880,16181,16861,17382,18516,19412
33,2111,2111.000,4749,15174,15733,15123,16272,17021,18380,21301,25039
34,2184,2184.000,4573,14940,15403,14684,15919,16503,16983,18085,26643
35,2162,2162.000,4648,14949,15471,14797,15967,16574,17187,20389,24085
36,2091,2091.000,4582,15384,15969,15256,16525,17164,17918,19638,25515
37,2170,2170.000,4630,15012,15507,14745,16032,16553,16896,17833,25911
38,2142,2142.000,4567,14888,15425,14967,16077,17640,19100,20484,24886
39,2101,2101.000,4654,15346,15841,15196,16378,17104,17868,20365,21829
40,2077,2077.000,4808,15218,15771,15390,16394,17256,20390,26378,29907
41,2127,2127.000,4753,15162,15702,15058,16277,17022,17911,20820,21620
42,2044,2044.000,4821,15403,15980,15645,16579,17412,18137,32529,39005
43,2146,2146.000,4626,15015,15507,14926,16044,16703,17416,23144,31275
44,2187,2187.000,4673,14789,15348,14593,15869,16422,16735,17623,19463
45,2113,2113.000,4616,15278,15830,15166,16437,17136,17791,21211,24031
46,2126,2126.000,4597,15187,15771,15105,16365,17058,17536,21681,24915
47,2090,2090.000,4847,15381,15938,15195,16468,17005,17378,19596,21277
48,2127,2127.000,4733,15181,15764,15064,16370,16988,17472,19443,24148
49,2137,2137.000,4622,15042,15633,14965,16223,16960,17704,19963,21865
50,2149,2149.000,4625,14912,15394,14863,15972,16888,18224,21456,24752
51,2173,2173.000,4654,14857,15351,14746,15881,16553,17366,22901,24877
52,2072,2072.000,4587,14745,15298,15410,15797,16365,16863,72735,73552
53,2180,2180.000,4672,14960,15448,14722,15925,16425,16904,18541,25942
54,2144,2144.000,4652,14980,15496,14930,16108,16725,17502,24246,27873
55,2111,2111.000,4713,15210,15741,15099,16213,16847,17654,22607,28064
56,2167,2167.000,4745,15047,15526,14788,16015,16585,16973,18611,19871
57,2137,2137.000,4552,14980,15561,14958,16256,17087,17961,20319,24519
58,2149,2149.000,4622,15034,15527,14876,16041,16643,17445,20153,24470
59,2161,2161.000,4513,15084,15584,14813,16099,16626,16952,17626,18690
60,2116,2116.000,4648,15184,15668,15134,16228,16859,17677,23551,30795
61,2137,2137.000,4674,15225,15727,14964,16254,16886,17284,18052,20104
62,2056,2056.000,4853,15664,16234,15585,16868,17725,18329,19968,28741
63,2018,2018.000,4873,15787,16481,15826,17166,17886,18728,24104,26550
64,2020,2020.000,4806,15712,16258,15814,17002,18488,20095,22136,26512
65,2124,2124.000,4778,15378,15893,15063,16389,16853,17216,17916,19431
66,2121,2121.000,4728,15276,15816,15083,16362,17018,17542,18574,21051
67,2112,2112.000,4745,15356,15936,15156,16481,17048,17439,18318,22408
68,2144,2144.000,4609,14922,15506,14941,16110,16838,17857,23973,27076
69,2113,2113.000,4739,15314,15850,15109,16389,17032,17425,18302,28242
70,2115,2115.000,4553,15342,15849,15123,16436,17100,17614,18479,20034
71,2074,2074.000,4752,15285,15925,15401,16583,17299,18843,24491,28965
72,2135,2135.000,4775,15079,15589,15004,16088,16694,17249,25621,31194
73,2147,2147.000,4676,14863,15405,14887,15955,16744,19452,21785,26938
74,2154,2154.000,4709,15152,15621,14854,16115,16575,16960,19089,21927
75,2111,2111.000,4706,15333,15888,15178,16467,17176,17714,19085,24620
76,2132,2132.000,4677,15152,15716,14979,16295,16905,17506,19107,20762
77,2137,2137.000,4702,15169,15704,15015,16210,16739,17415,20228,25081
78,2045,2045.000,4718,15697,16324,15619,16957,17609,18240,22273,24751
79,2134,2134.000,4735,15292,15796,14996,16278,16757,17079,18176,19983
80,2083,2083.000,4725,15295,15882,15353,16507,17316,18428,23031,24647
81,2026,2026.000,4763,15560,16108,15791,16659,17421,19195,33889,35640
82,2072,2072.000,4794,15546,16131,15442,16704,17258,17799,23688,27745
83,2141,2141.000,4665,15165,15731,14936,16262,16800,17199,18056,18984
84,2106,2106.000,4766,15337,15884,15177,16420,17044,17590,20919,25307
85,2115,2115.000,4740,15350,15890,15121,16460,17002,17370,18223,19392
86,2016,2016.000,4750,15498,16241,15865,17010,18756,20342,26783,28148
87,2186,2186.000,4574,14974,15461,14670,15933,16415,16784,17741,18919
88,2155,2155.000,4633,15054,15574,14831,16051,16625,17033,18199,24975
89,2143,2143.000,4577,15044,15574,14944,16170,16944,17609,20109,23130
90,2160,2160.000,4607,15019,15519,14749,16001,16481,16841,18040,19186
91,2156,2156.000,4689,14996,15542,14891,16131,16820,17414,19453,27996
92,2164,2164.000,4660,14959,15509,14772,16049,16578,17007,18686,19513
93,2171,2171.000,4575,14865,15397,14719,15973,16596,17204,19421,23925
94,2152,2152.000,4537,15089,15675,14904,16202,16734,17130,18523,20036
95,2124,2124.000,4479,14871,15399,15018,16065,17869,19564,21150,27421
96,2068,2068.000,4573,14878,15407,15475,15963,16518,17013,68751,70338
97,2157,2157.000,4628,14987,15533,14853,16101,16823,17501,18601,26839
98,2177,2177.000,4622,14915,15436,14716,15941,16504,17210,18813,20005
99,2196,2196.000,4628,14761,15270,14528,15779,16365,16747,18073,18867
100,2195,2195.000,4569,14727,15232,14550,15760,16403,16880,18917,28733
101,2195,2195.000,4558,14875,15378,14614,15849,16319,16663,17752,19642
102,2137,2137.000,4680,15197,15659,14970,16161,16725,17504,19430,24734
103,2171,2171.000,4640,14904,15449,14716,15958,16480,16903,19473,20918
104,2162,2162.000,4614,14949,15495,14787,16038,16722,17227,18565,27602
105,2174,2174.000,4609,15010,15501,14710,15974,16433,16768,17464,18902
106,2156,2156.000,4697,15035,15633,14856,16195,16663,17065,18136,22516
107,2156,2156.000,4657,14999,15573,14844,16148,16736,17114,18958,20569
108,2154,2154.000,4591,14916,15556,14834,16117,16783,17213,18633,23383
109,2132,2132.000,4655,15023,15563,15018,16120,16848,17933,22884,25069
110,2157,2157.000,4606,14920,15404,14821,15953,16737,18383,20981,22424
111,2169,2169.000,4684,14929,15412,14776,15994,16726,17353,19543,28401
112,2149,2149.000,4628,14848,15366,14899,15877,16731,18656,24865,27427
113,2160,2160.000,4433,14895,15445,14775,16003,16669,17310,19840,22757
114,2155,2155.000,4661,14844,15357,14882,15861,16745,19535,24375,26306
115,2173,2173.000,4640,14892,15404,14685,15875,16440,17070,19194,22395
116,2191,2191.000,4612,14875,15368,14612,15845,16344,16724,17819,18885
117,2092,2092.000,4714,15012,15554,15287,16098,19125,21277,23316,24802
