Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,2288.400,13.992,10.238,11.309,11.818,13.069,21.185,25.182,34.437,96.340,0.071
5,1980.800,16.135,9.993,11.178,11.598,12.548,20.766,24.729,34.652,1026.213,0.062
10,2328.200,13.744,10.308,11.230,11.658,12.693,20.983,24.652,32.907,72.709,0.073
15,1650.600,19.381,9.842,11.063,11.496,12.495,20.663,24.661,37.804,1028.527,0.052
20,2127.000,15.048,9.912,11.134,11.553,12.546,20.573,24.160,32.871,1017.298,0.066
25,2069.600,15.453,9.965,11.115,11.522,12.410,20.706,24.367,34.869,1027.647,0.065
30,2357.000,13.569,10.231,11.147,11.557,12.493,20.402,24.067,32.529,79.584,0.074
35,2109.200,15.168,9.829,11.107,11.516,12.423,20.477,24.268,32.612,1026.041,0.066
40,2181.000,15.483,9.909,11.107,11.521,12.408,20.457,24.291,34.195,1023.149,0.065
45,2217.000,13.633,9.934,11.177,11.589,12.598,20.562,24.182,32.401,215.587,0.073
50,2343.000,13.649,10.187,11.187,11.627,12.596,20.617,24.356,32.518,76.492,0.073
55,2360.200,13.548,10.309,11.189,11.605,12.593,20.561,24.137,31.630,47.817,0.074
60,1969.400,16.250,10.052,11.133,11.542,12.659,21.095,24.665,35.742,1009.380,0.062
65,1552.000,20.607,10.004,11.263,11.853,14.314,24.489,49.252,104.590,1060.176,0.049
70,1882.000,17.004,10.228,11.331,11.943,16.739,25.014,36.162,99.522,237.392,0.059
75,1131.800,29.845,9.915,10.946,11.432,13.983,22.867,31.398,777.415,2010.429,0.034
80,2065.200,14.630,9.982,11.125,11.551,12.460,20.682,24.171,31.792,890.478,0.068
85,2335.200,13.696,10.266,11.176,11.590,12.588,20.734,24.601,33.494,75.343,0.073
90,2321.800,13.782,10.292,11.274,11.738,12.816,20.850,24.546,33.233,76.740,0.073
95,1969.000,16.247,10.251,11.183,11.656,15.997,23.734,36.885,77.124,186.562,0.062
100,2330.400,13.727,10.269,11.224,11.631,12.623,20.658,24.269,33.044,76.124,0.073
105,2182.600,14.663,10.016,11.068,11.482,12.365,20.421,24.206,32.177,1019.390,0.068
110,2286.200,15.152,10.054,11.123,11.534,12.530,20.621,24.504,35.168,1019.111,0.066
115,2132.600,13.717,9.874,11.079,11.483,12.326,20.248,23.876,31.350,542.179,0.073
