Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1138.200,28.157,5.040,20.040,26.683,34.372,43.037,51.649,83.046,240.488,0.036
5,1240.200,25.792,4.858,18.720,25.049,31.367,39.894,46.753,74.533,118.725,0.039
10,1308.200,24.450,5.447,18.676,24.707,30.426,36.831,41.445,53.460,82.346,0.041
15,1215.600,26.340,4.529,19.032,25.565,32.277,40.760,47.728,76.436,158.232,0.038
20,1022.400,31.261,4.653,19.381,26.133,34.454,47.409,63.136,151.854,325.555,0.032
25,863.200,37.588,4.708,21.923,30.895,41.230,55.592,110.417,198.366,371.010,0.027
30,722.200,43.701,5.326,19.359,25.913,35.970,75.543,128.010,229.664,1052.942,0.023
35,1279.800,24.979,4.902,18.377,24.616,31.216,38.689,44.414,58.244,97.510,0.040
40,1279.600,25.013,4.312,18.148,24.393,30.567,38.580,45.736,68.127,107.495,0.040
45,1167.400,27.417,5.177,19.262,25.557,32.721,43.018,52.333,72.061,1048.306,0.036
50,1259.200,25.428,5.195,18.908,25.149,31.401,38.824,44.904,59.349,477.370,0.039
55,1252.400,25.519,5.105,18.540,25.143,31.680,39.527,45.394,61.702,91.950,0.039
60,1261.400,25.368,5.341,18.624,25.152,31.501,39.234,45.343,59.445,97.556,0.039
65,1249.800,25.605,5.043,18.947,25.285,31.373,39.470,45.968,65.620,99.562,0.039
70,1291.800,24.927,3.999,18.414,24.911,30.587,37.524,42.865,58.221,1036.271,0.040
75,1173.400,27.093,5.411,19.723,25.942,32.739,42.674,50.174,74.272,443.845,0.037
80,1261.600,25.359,4.311,19.243,25.394,31.505,38.552,43.930,57.640,108.756,0.039
85,1247.400,25.638,5.223,18.984,25.345,32.141,39.901,46.070,58.928,91.852,0.039
90,1255.000,25.506,4.177,19.162,25.389,31.785,38.821,44.815,59.412,100.699,0.039
95,1263.200,25.335,4.783,18.862,24.960,31.746,39.357,45.454,61.057,89.983,0.039
100,1239.600,25.796,4.697,18.618,25.042,32.099,40.661,47.848,66.885,113.763,0.039
105,1215.000,26.357,4.261,19.406,25.605,32.093,40.338,47.403,65.268,923.934,0.038
110,1242.800,25.758,4.524,18.388,25.240,31.944,39.978,46.343,69.444,108.931,0.039
115,1323.400,24.037,4.732,17.083,23.135,29.831,38.145,44.328,59.522,104.631,0.042
