Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1270,1270.000,16181,21037,23003,25463,25717,30127,38947,72978,88656
1,1306,1306.000,17027,20944,22947,24502,25726,29913,34102,56834,70144
2,1222,1222.000,17827,22878,25417,26248,28434,31882,34429,45977,55922
3,1190,1190.000,16896,23613,26032,26883,29412,33122,35349,43319,59622
4,1201,1201.000,17398,23291,25815,26608,29381,32661,34469,40680,57691
5,1199,1199.000,16609,23352,25733,26696,29331,33311,35535,42350,61395
6,1184,1184.000,17482,23464,26092,26973,29382,33122,36238,45281,68352
7,1190,1190.000,17402,23431,26109,26961,29606,33527,36277,44277,62560
8,1081,1081.000,19155,26037,28585,29734,32193,36697,40153,48735,67067
9,1044,1044.000,14482,25940,28695,30516,32548,37211,41062,80670,94607
10,1053,1053.000,20916,26682,29266,30408,32989,36790,40888,53193,64209
11,1064,1064.000,19524,25920,28728,30067,32858,37976,40780,48897,77237
12,1069,1069.000,19603,26193,28875,29866,32106,36496,39790,49106,63156
13,1067,1067.000,19544,26402,28960,30050,32501,36796,39430,50926,61194
14,1054,1054.000,19916,26581,29433,30285,32859,37231,40147,46715,70038
15,967,967.000,17005,26588,30356,33229,35054,43286,60234,80510,94826
16,1069,1069.000,19483,26495,28823,29744,31943,35533,39555,48535,60231
17,1065,1065.000,19845,26325,29186,30170,33094,37184,40189,48602,60577
18,1046,1046.000,18322,26484,29212,30518,33386,38730,42216,48708,63629
19,1033,1033.000,18805,26669,30053,30962,34129,37841,41079,50941,75756
20,1053,1053.000,19798,26255,28937,30350,33152,37552,40694,53392,70537
21,1078,1078.000,19919,25947,28519,29815,31882,36897,41430,53699,66607
22,1033,1033.000,15116,26182,28683,30902,32514,37553,42987,86413,106993
