Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1820.400,18.359,10.552,12.478,14.026,19.686,24.985,31.064,60.325,1022.078,0.054
5,1259.600,24.302,10.029,12.164,14.478,22.495,39.060,75.118,175.388,603.652,0.041
10,823.800,38.829,9.800,12.898,20.249,49.704,79.711,149.518,207.695,1658.085,0.026
15,1806.800,17.705,10.403,12.454,14.047,21.764,26.310,30.641,49.424,110.564,0.056
20,1880.000,17.018,10.669,12.538,13.868,21.355,25.153,28.229,40.663,85.634,0.059
25,1868.000,17.124,10.373,12.466,13.883,21.465,25.314,28.421,40.343,83.560,0.058
30,1859.200,17.208,10.386,12.450,13.872,21.354,25.546,29.062,44.233,100.660,0.058
35,1888.600,16.944,10.483,12.488,13.878,21.352,25.184,28.602,39.305,65.870,0.059
40,1858.600,17.206,10.418,12.428,13.860,21.401,25.650,29.468,42.955,91.088,0.058
45,1884.400,16.977,10.392,12.501,13.887,21.236,25.319,28.772,38.591,60.023,0.059
50,1863.000,17.179,10.320,12.466,13.830,21.428,25.567,29.040,44.161,81.747,0.058
55,1878.200,17.025,10.605,12.501,13.934,21.359,25.383,28.484,39.367,68.449,0.059
60,1846.000,17.334,10.270,12.477,13.963,21.483,25.721,29.458,42.582,95.163,0.058
65,1880.800,17.005,10.540,12.520,13.878,21.363,25.364,28.824,39.342,65.818,0.059
70,1844.200,17.358,10.144,12.493,13.887,21.479,25.704,29.632,46.334,110.203,0.058
75,1851.400,17.280,10.444,12.519,14.014,21.671,26.038,29.986,40.373,72.255,0.058
80,1817.000,17.603,10.348,12.579,14.136,21.765,26.268,30.370,44.545,114.883,0.057
85,1846.600,17.335,10.652,12.572,14.067,21.914,26.098,29.582,39.662,82.963,0.058
90,1809.800,17.669,10.357,12.550,14.117,22.014,26.620,30.805,45.447,89.350,0.057
95,1870.200,17.120,10.543,12.483,13.923,21.668,25.795,29.047,38.884,72.133,0.058
100,1759.600,18.169,10.468,12.487,13.952,21.930,26.602,31.107,46.195,1014.929,0.055
105,1834.400,17.445,10.617,12.669,14.196,22.091,26.405,29.433,39.359,62.325,0.057
110,1815.800,17.623,10.317,12.464,13.877,21.622,26.180,29.986,46.364,591.707,0.057
115,1856.400,17.166,10.505,12.500,13.942,21.750,26.164,29.577,39.798,71.604,0.058
