Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,523.200,64.137,9.905,14.818,21.362,30.989,49.764,115.051,981.436,1053.080,0.016
5,743.200,46.188,9.907,16.319,23.442,33.852,49.067,62.299,854.173,1059.012,0.022
10,480.400,58.755,9.970,15.798,26.566,44.375,72.236,107.483,924.796,1034.814,0.017
15,576.400,57.988,10.115,17.809,26.334,41.936,68.840,131.955,1015.820,1322.282,0.017
20,416.000,73.935,9.761,14.999,22.783,34.701,59.321,685.245,975.019,1116.401,0.014
25,496.200,71.876,9.944,16.641,24.355,36.801,55.267,700.989,968.327,1035.644,0.014
30,570.000,49.301,10.102,17.603,25.901,37.472,56.023,75.757,907.824,1040.236,0.020
35,474.800,72.540,9.858,15.905,23.678,35.218,53.907,682.554,1001.657,1048.343,0.014
40,448.000,75.818,9.854,15.609,23.880,36.412,57.314,814.455,1004.805,1080.339,0.013
45,569.400,48.447,9.836,16.749,24.578,35.453,51.320,65.304,904.383,1050.508,0.021
50,476.000,76.197,9.941,17.948,27.216,46.220,109.940,282.586,970.580,1956.474,0.013
55,377.600,73.539,9.977,16.155,24.219,37.204,56.276,755.906,985.036,1057.205,0.014
60,464.400,68.839,9.953,15.172,23.353,34.517,54.736,687.686,880.333,1082.456,0.015
65,539.600,59.258,9.660,16.903,24.408,35.994,55.467,75.692,977.991,2057.340,0.017
70,465.000,68.882,9.764,15.171,22.878,33.226,51.191,675.532,917.954,1056.063,0.015
75,731.400,49.800,9.986,16.848,24.261,35.691,51.640,66.833,900.142,1057.410,0.020
80,381.400,84.282,9.869,16.261,23.150,35.291,55.987,846.551,986.470,1040.603,0.012
85,392.200,70.257,10.046,15.896,22.941,34.424,53.729,710.052,994.274,1079.938,0.014
90,584.400,63.235,9.897,16.197,23.858,36.306,55.007,78.493,925.862,1020.867,0.016
95,462.200,62.411,9.929,16.170,24.149,36.106,56.945,86.695,947.926,1033.231,0.016
100,521.800,58.751,9.827,15.969,24.210,35.543,51.469,70.364,926.122,1214.912,0.017
105,575.000,54.577,9.787,16.189,23.770,35.355,52.920,73.580,895.013,1047.488,0.018
110,583.400,54.891,9.837,16.146,24.015,34.901,51.336,71.279,931.957,1083.137,0.018
115,616.600,51.480,9.924,16.977,24.087,35.668,53.251,69.293,916.232,1043.877,0.019
