Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1845.600,18.074,9.980,11.914,12.897,19.051,26.664,32.105,55.104,1012.627,0.055
5,1439.800,21.399,9.914,12.117,13.862,21.125,34.963,50.258,103.928,746.648,0.047
10,1381.800,23.051,9.964,11.543,12.680,18.859,34.770,50.973,167.802,1016.561,0.043
15,1328.200,24.075,9.926,11.793,13.216,21.742,39.820,58.322,149.455,995.578,0.042
20,1935.200,16.519,10.395,11.922,12.974,18.388,27.521,32.874,43.951,85.570,0.061
25,1738.200,18.421,9.818,11.479,12.359,16.806,24.851,30.053,64.087,960.700,0.054
30,2024.200,15.793,10.240,11.701,12.518,17.048,24.065,28.328,39.291,552.228,0.063
35,1761.400,18.178,9.788,11.701,12.536,17.983,24.181,29.142,48.035,1028.730,0.055
40,2043.200,15.651,10.239,11.808,12.675,17.668,24.093,28.416,39.276,91.028,0.064
45,1806.000,17.719,10.040,11.510,12.277,15.992,23.422,27.986,60.091,1022.498,0.056
50,1864.000,17.165,9.849,11.660,12.451,17.215,23.660,27.627,38.653,1027.249,0.058
55,1971.200,16.226,9.993,11.736,12.563,18.033,24.093,29.138,48.715,269.548,0.062
60,1858.200,18.256,9.962,11.496,12.346,17.145,23.924,28.877,60.326,1009.015,0.055
65,1865.200,16.119,10.025,11.712,12.520,17.567,24.067,28.850,46.130,432.599,0.062
70,1819.400,17.592,9.975,11.714,12.476,16.564,23.522,27.970,40.523,1008.347,0.057
75,1909.000,16.913,10.088,11.620,12.429,17.183,23.852,28.614,45.075,1023.076,0.059
80,1734.600,20.110,10.022,11.520,12.311,16.980,23.820,29.147,50.478,1024.022,0.050
85,1718.400,17.185,9.837,11.693,12.494,18.291,24.129,29.396,46.093,569.503,0.058
90,1673.600,18.680,9.853,11.653,12.482,17.690,24.074,29.305,67.701,1025.164,0.054
95,1780.200,17.976,9.943,11.590,12.362,16.848,23.606,28.222,43.717,1014.529,0.056
100,1780.200,17.974,10.056,11.732,12.517,17.633,24.170,29.314,44.689,1025.707,0.056
105,1781.400,17.959,9.939,11.702,12.474,17.194,23.890,27.981,40.572,1011.973,0.056
110,1723.000,18.570,9.847,11.548,12.377,16.679,23.965,28.766,52.140,1018.855,0.054
115,1772.000,17.982,9.945,11.594,12.452,17.129,24.077,29.797,102.873,804.960,0.056
